Rk,Player,PTS,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,Player-additional
1,Zach Edey,983,2023-24,Purdue,39,39,1248,336,539,335,537,1,2,310,436,181,293,474,79,11,84,90,76,983,0.623,0.624,0.5,0.711,0.659,0.624,C,SR,zach-edey-1
2,Tommy Bruner,816,2023-24,Denver,34,34,1148,262,602,180,370,82,232,210,260,11,85,96,143,43,4,122,98,816,0.435,0.486,0.353,0.808,0.562,0.503,G,SR,tommy-bruner-1
3,Mark Sears,797,2023-24,Alabama,37,37,1244,252,496,157,278,95,218,198,231,32,122,154,149,60,4,90,73,797,0.508,0.565,0.436,0.857,0.658,0.604,G,SR,mark-sears-1
4,RJ Davis,784,2023-24,North Carolina,37,37,1287,260,607,147,323,113,284,151,173,18,116,134,129,45,8,55,65,784,0.428,0.455,0.398,0.873,0.569,0.521,G,SR,rj-davis-1
5,Dalton Knecht,780,2023-24,Tennessee,36,36,1100,264,577,171,343,93,234,159,206,28,148,176,65,25,23,61,64,780,0.458,0.499,0.397,0.772,0.578,0.538,G,SR,dalton-knecht-1
6,Jaedon Ledee,772,2023-24,San Diego State,36,36,1174,263,470,243,425,20,45,226,308,121,181,302,47,44,19,85,87,772,0.56,0.572,0.444,0.734,0.626,0.581,F,SR,jaedon-ledee-1
7,Jalen Blackmon,744,2023-24,Stetson,35,35,1217,244,570,134,281,110,289,146,161,23,77,100,66,28,3,67,42,744,0.428,0.477,0.381,0.907,0.575,0.525,G,JR,jalen-blackmon-1
8,Tyler Thomas,742,2023-24,Hofstra,33,33,1250,265,640,140,303,125,337,87,101,8,163,171,110,44,15,70,46,742,0.414,0.462,0.371,0.861,0.539,0.512,G,SR,tyler-thomas-1
9,Terrence Shannon Jr.,736,2023-24,Illinois,32,31,1085,219,461,142,248,77,213,221,276,26,102,128,73,33,28,64,71,736,0.475,0.573,0.362,0.801,0.622,0.559,G,SR,terrence-shannonjr-1
10,Tucker DeVries,734,2023-24,Drake,34,34,1207,245,552,158,312,87,240,157,193,21,208,229,125,53,11,85,57,734,0.444,0.506,0.363,0.813,0.57,0.523,G,JR,tucker-devries-1
11,Riley Minix,733,2023-24,Morehead State,35,35,1184,272,503,213,334,59,169,130,155,106,232,338,77,46,35,81,79,733,0.541,0.638,0.349,0.839,0.636,0.599,F,SR,riley-minix-1
12,KJ Simpson,728,2023-24,Colorado,37,37,1298,243,512,164,330,79,182,163,186,28,187,215,181,60,2,81,92,728,0.475,0.497,0.434,0.876,0.606,0.552,G,JR,kj-simpson-1
13,Xavier Johnson,709,2023-24,Southern Illinois,32,32,1174,211,500,143,315,68,185,219,246,16,115,131,196,47,8,107,92,709,0.422,0.454,0.368,0.89,0.575,0.49,G,SR,xavier-johnson-3
14,David Jones,698,2023-24,Memphis,32,32,1035,223,486,144,278,79,208,173,217,82,162,244,59,70,14,96,63,698,0.459,0.518,0.38,0.797,0.592,0.54,F,JR,david-jones-10
15,Marcus Hill,698,2023-24,Bowling Green,34,34,1234,255,575,229,485,26,90,162,219,54,117,171,87,35,10,90,66,698,0.443,0.472,0.289,0.74,0.514,0.466,G,JR,marcus-hill-4
16,Jordan Sears,692,2023-24,UT Martin,32,32,1078,227,525,151,349,76,176,162,193,18,130,148,144,41,6,102,61,692,0.432,0.433,0.432,0.839,0.561,0.505,G,JR,jordan-sears-1
17,Tristan Enaruna,687,2023-24,Cleveland State,35,35,1163,252,506,224,419,28,87,155,215,85,142,227,95,42,30,67,68,687,0.498,0.535,0.322,0.721,0.565,0.526,G,SR,tristan-enaruna-1
18,Wade Taylor IV,687,2023-24,Texas A&M,36,36,1180,214,585,116,283,98,302,161,190,17,108,125,145,66,1,101,108,687,0.366,0.41,0.325,0.847,0.509,0.45,G,JR,wade-tayloriv-1
19,Tyon Grant-Foster,684,2023-24,Grand Canyon,34,34,1139,212,475,162,324,50,151,210,282,45,162,207,54,58,50,85,79,684,0.446,0.5,0.331,0.745,0.562,0.499,G,SR,tyon-grant-foster-1
20,Jordan Johnson,683,2023-24,New Orleans,32,31,1144,210,543,129,305,81,238,182,221,10,91,101,122,48,6,77,72,683,0.387,0.423,0.34,0.824,0.527,0.461,G,SR,jordan-johnson-5
21,Elijah Pepper,682,2023-24,UC Davis,33,33,1092,216,520,115,248,101,272,149,162,21,131,152,70,56,9,62,50,682,0.415,0.464,0.371,0.92,0.571,0.513,G,SR,elijah-pepper-1
22,Drew Pember,681,2023-24,UNC Asheville,33,31,1006,193,416,126,233,67,183,228,270,45,225,270,117,32,63,89,64,681,0.464,0.541,0.366,0.844,0.626,0.544,F,SR,drew-pember-1
23,DJ Horne,677,2023-24,NC State,40,36,1304,240,551,135,291,105,260,92,113,19,119,138,84,51,5,54,80,677,0.436,0.464,0.404,0.814,0.56,0.531,G,SR,dj-horne-1
24,Vonterius Woolbright,675,2023-24,Western Carolina,32,32,1129,236,513,226,472,10,41,193,269,71,313,384,179,19,1,111,49,675,0.46,0.479,0.244,0.717,0.527,0.47,G,SR,vonterius-woolbright-1
25,Keion Brooks Jr.,674,2023-24,Washington,32,32,1121,228,468,176,331,52,137,166,209,47,172,219,44,22,24,61,72,674,0.487,0.532,0.38,0.794,0.594,0.543,F,SR,keion-brooksjr-1
26,Xander Rice,674,2023-24,Monmouth,33,32,1159,201,525,110,264,91,261,181,213,20,79,99,119,42,2,70,52,674,0.383,0.417,0.349,0.85,0.538,0.47,G,SR,xander-rice-1
27,DaRon Holmes II,672,2023-24,Dayton,33,33,1071,217,399,185,316,32,83,206,289,55,226,281,86,31,68,74,66,672,0.544,0.585,0.386,0.713,0.627,0.584,F,JR,daron-holmesii-1
28,Antonio Reeves,667,2023-24,Kentucky,33,33,1037,235,459,151,271,84,188,113,131,24,113,137,54,22,8,40,59,667,0.512,0.557,0.447,0.863,0.64,0.603,G,SR,antonio-reeves-1
29,Frankie Fidler,664,2023-24,Omaha,33,33,1188,198,438,146,292,52,146,216,253,39,168,207,86,41,12,54,75,664,0.452,0.5,0.356,0.854,0.595,0.511,F,JR,frankie-fidler-1
30,PJ Hall,659,2023-24,Clemson,36,36,1040,240,492,188,327,52,165,127,163,57,174,231,51,28,51,67,113,659,0.488,0.575,0.315,0.779,0.579,0.541,F,SR,pj-hall-1
31,Zeke Mayo,658,2023-24,South Dakota State,35,34,1257,218,468,126,233,92,235,130,157,22,177,199,123,40,6,107,54,658,0.466,0.541,0.391,0.828,0.606,0.564,G,JR,zeke-mayo-1
32,Marques Warrick,657,2023-24,Northern Kentucky,33,33,1192,217,511,150,286,67,225,156,180,14,68,82,80,40,2,75,38,657,0.425,0.524,0.298,0.867,0.551,0.49,G,SR,marques-warrick-1
33,PJ Haggerty,657,2023-24,Tulsa,31,31,1045,199,404,177,328,22,76,237,309,32,137,169,119,60,1,80,53,657,0.493,0.54,0.289,0.767,0.596,0.52,G,FR,pj-haggerty-1
34,Enrique Freeman,652,2023-24,Akron,35,35,1138,233,399,213,345,20,54,166,228,125,328,453,57,28,61,88,99,652,0.584,0.617,0.37,0.728,0.643,0.609,F,SR,enrique-freeman-1
35,Jahmir Young,652,2023-24,Maryland,32,32,1134,199,493,143,320,56,173,198,220,33,123,156,135,43,10,87,40,652,0.404,0.447,0.324,0.9,0.546,0.46,G,SR,jahmir-young-1
