,Player,Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,SOS,Rk,PTS.1,TS%,eFG%,Pos,Player-additional
22,AJ Griffin,2021-22,Duke,ACC,FR,39.0,25.0,24.0,3.7,7.6,0.493,1.9,3.5,0.547,1.8,4.1,0.447,1.1,1.4,0.792,0.8,3.2,3.9,1.0,0.5,0.6,0.6,1.1,10.4,,7.26,,,,,,
23,Tari Eason,2020-21,Cincinnati,AAC,FR,23.0,8.0,19.6,2.9,6.3,0.462,2.6,5.0,0.517,0.3,1.3,0.241,1.2,2.0,0.574,2.3,3.7,5.9,1.3,1.2,1.3,2.2,2.6,7.3,,7.21,,,,,,
24,Tari Eason,2021-22,LSU,SEC,SO,33.0,4.0,24.4,5.8,11.1,0.521,4.9,8.7,0.564,0.8,2.4,0.359,4.6,5.7,0.803,2.3,4.3,6.6,1.0,1.9,1.1,2.2,2.8,16.9,,8.3,,,,,,
25,Dalen Terry,2020-21,Arizona,Pac-12,FR,26.0,14.0,20.7,1.5,3.6,0.415,1.0,2.0,0.49,0.5,1.7,0.326,1.0,1.7,0.614,0.8,2.4,3.2,1.5,0.7,0.4,1.2,2.3,4.6,,8.18,,,,,,
26,Dalen Terry,2021-22,Arizona,Pac-12,SO,37.0,37.0,27.8,3.1,6.2,0.502,2.4,4.1,0.572,0.8,2.1,0.364,1.1,1.4,0.736,1.2,3.7,4.8,3.9,1.2,0.3,1.4,2.3,8.0,,6.84,,,,,,
27,Jake LaRavia,2019-20,Indiana State,MVC,FR,30.0,25.0,24.6,3.7,7.0,0.529,3.3,6.1,0.546,0.4,0.9,0.407,1.7,2.7,0.625,2.6,3.3,5.9,1.6,0.5,1.2,1.8,3.2,9.4,,1.81,,,,,,
28,Jake LaRavia,2020-21,Indiana State,MVC,SO,25.0,25.0,29.2,4.2,8.9,0.473,3.8,7.6,0.5,0.4,1.3,0.313,3.5,4.5,0.779,2.3,4.0,6.3,2.3,1.5,0.8,2.1,2.9,12.3,,1.91,,,,,,
29,Jake LaRavia,2021-22,Wake Forest,ACC,JR,33.0,33.0,34.2,5.0,9.0,0.559,4.2,6.8,0.616,0.8,2.2,0.384,3.7,4.8,0.777,2.1,4.5,6.6,3.7,1.7,1.0,2.7,2.8,14.6,,4.75,,,,,,
30,Malaki Branham,2021-22,Ohio State,Big Ten,FR,32.0,31.0,29.6,5.0,10.0,0.498,3.8,7.3,0.53,1.2,2.8,0.416,2.5,3.0,0.833,0.8,2.8,3.6,2.0,0.7,0.3,1.7,1.8,13.7,,9.08,,,,,,
31,Christian Braun,2019-20,Kansas,Big 12,FR,31.0,5.0,18.4,1.8,4.2,0.431,0.8,1.9,0.414,1.0,2.3,0.444,0.6,0.8,0.731,0.7,2.2,2.9,0.5,0.7,0.2,0.4,1.3,5.3,,11.63,,,,,,
32,Christian Braun,2020-21,Kansas,Big 12,SO,30.0,30.0,31.1,3.1,8.1,0.38,1.3,3.0,0.449,1.7,5.1,0.34,1.8,2.3,0.786,1.2,4.0,5.2,1.9,1.2,0.4,1.3,1.7,9.7,,10.26,,,,,,
33,Christian Braun,2021-22,Kansas,Big 12,JR,40.0,39.0,34.4,5.2,10.5,0.495,3.9,7.2,0.545,1.3,3.3,0.386,2.5,3.4,0.733,1.4,5.1,6.5,2.8,1.0,0.8,2.0,1.8,14.1,,11.3,,,,,,
34,Walker Kessler,2020-21,UNC,ACC,FR,29.0,0.0,8.8,1.8,3.1,0.578,1.8,3.0,0.593,0.0,0.1,0.25,0.8,1.4,0.537,1.6,1.7,3.2,0.3,0.5,0.9,0.6,1.2,4.4,,9.52,,,,,,
35,Walker Kessler,2021-22,Auburn,SEC,SO,34.0,34.0,25.6,4.8,7.9,0.608,4.5,6.4,0.702,0.3,1.5,0.2,1.6,2.6,0.596,2.6,5.4,8.1,0.9,1.1,4.6,1.1,2.6,11.4,,8.17,,,,,,
36,David Roddy,2019-20,Colorado State,MWC,FR,32.0,19.0,25.6,4.1,8.8,0.465,3.6,6.4,0.566,0.5,2.4,0.195,2.8,3.7,0.739,1.7,3.9,5.6,1.8,0.6,0.8,2.0,2.4,11.4,,3.96,,,,,,
37,David Roddy,2020-21,Colorado State,MWC,SO,28.0,26.0,31.5,5.5,10.8,0.512,4.8,8.3,0.584,0.7,2.6,0.278,4.1,5.3,0.789,2.1,7.3,9.4,2.6,0.9,0.7,2.3,1.9,15.9,,1.06,,,,,,
38,David Roddy,2021-22,Colorado State,MWC,JR,31.0,31.0,32.9,7.2,12.5,0.571,5.7,9.2,0.62,1.5,3.4,0.438,3.4,4.9,0.691,1.8,5.7,7.5,2.9,1.2,1.1,2.3,2.3,19.2,,4.77,,,,,,
39,Blake Wesley,2021-22,Notre Dame,ACC,FR,35.0,28.0,29.3,5.1,12.6,0.404,3.5,7.5,0.471,1.5,5.1,0.303,2.7,4.1,0.657,0.7,3.0,3.7,2.4,1.3,0.1,2.2,1.9,14.4,,7.01,,,,,,
40,Wendell Moore Jr.,2019-20,Duke,ACC,FR,25.0,11.0,24.0,2.6,6.2,0.416,2.4,5.4,0.444,0.2,0.8,0.211,2.2,2.7,0.806,1.6,2.6,4.2,1.9,0.9,0.2,2.4,2.1,7.4,,8.0,,,,,,
