,Player,Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,SOS,Rk,PTS.1,TS%,eFG%,Pos,Player-additional
1255,Kim English,2010-11,Missouri,Big 12,JR,34.0,29.0,25.6,3.1,8.5,0.366,1.6,4.4,0.365,1.5,4.2,0.366,2.3,3.1,0.726,0.5,2.6,3.1,2.0,1.2,0.3,2.0,1.7,10.0,,6.5,,,,,,
1256,Kim English,2011-12,Missouri,Big 12,SR,35.0,35.0,33.6,4.9,9.4,0.521,2.7,4.5,0.589,2.2,4.9,0.459,2.5,3.4,0.725,0.9,3.4,4.2,1.6,1.3,0.3,1.7,2.4,14.5,,5.68,,,,,,
1257,Justin Hamilton,2008-09,Iowa State,Big 12,FR,32.0,18.0,13.7,1.8,3.1,0.57,1.8,3.1,0.57,0.0,0.0,,0.7,1.0,0.656,1.2,1.8,2.9,0.2,0.1,0.5,0.4,1.2,4.2,,5.68,,,,,,
1258,Justin Hamilton,2009-10,Iowa State,Big 12,SO,31.0,31.0,21.4,2.4,3.9,0.617,2.4,3.9,0.617,0.0,0.0,,1.6,2.3,0.7,2.7,2.7,5.4,0.3,0.3,1.1,1.0,2.3,6.4,,8.37,,,,,,
1259,Justin Hamilton,2010-11-RS,LSU,SEC,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,Justin Hamilton,2011-12,LSU,SEC,JR,33.0,32.0,30.0,4.8,9.7,0.494,4.7,9.3,0.503,0.1,0.4,0.25,3.2,4.2,0.781,3.3,3.9,7.2,0.9,0.8,1.3,1.7,2.5,12.9,,5.51,,,,,,
1261,Darius Miller,2008-09,Kentucky,SEC,FR,36.0,2.0,21.2,1.8,4.5,0.41,1.3,3.0,0.449,0.5,1.5,0.333,1.1,1.4,0.804,0.8,2.3,3.1,2.0,0.8,0.6,1.8,2.6,5.3,,4.82,,,,,,
1262,Darius Miller,2009-10,Kentucky,SEC,SO,38.0,32.0,21.2,2.3,5.7,0.4,1.1,2.3,0.494,1.1,3.4,0.336,0.8,1.0,0.795,0.9,1.6,2.5,1.5,0.6,0.6,0.9,1.9,6.5,,6.82,,,,,,
1263,Darius Miller,2010-11,Kentucky,SEC,JR,38.0,37.0,31.0,3.9,8.2,0.478,2.4,4.8,0.503,1.5,3.4,0.443,1.5,1.8,0.853,1.3,3.2,4.6,1.7,0.8,1.1,1.5,2.6,10.9,,8.91,,,,,,
1264,Darius Miller,2011-12,Kentucky,SEC,SR,40.0,11.0,26.1,3.6,7.6,0.474,2.2,3.8,0.569,1.4,3.7,0.376,1.4,1.7,0.797,0.9,1.9,2.8,2.1,0.8,0.3,1.5,2.2,9.9,,7.93,,,,,,
1265,Kevin Murphy,2008-09,Tennessee Tech,OVC,FR,30.0,19.0,20.3,3.2,8.3,0.383,1.9,5.2,0.363,1.3,3.0,0.418,2.0,2.7,0.72,0.8,2.2,2.9,1.6,0.6,0.2,2.5,1.8,9.6,,-4.68,,,,,,
1266,Kevin Murphy,2009-10,Tennessee Tech,OVC,SO,32.0,30.0,31.3,5.3,12.0,0.442,4.2,8.3,0.504,1.2,3.8,0.306,3.6,4.7,0.755,1.2,2.8,3.9,2.1,0.7,0.1,2.8,2.3,15.3,,-2.51,,,,,,
1267,Kevin Murphy,2010-11,Tennessee Tech,OVC,JR,33.0,28.0,29.3,6.1,12.8,0.478,5.0,9.5,0.529,1.1,3.4,0.333,3.6,4.9,0.735,0.5,3.9,4.5,1.8,1.0,0.2,3.2,2.2,17.0,,-5.77,,,,,,
1268,Kevin Murphy,2011-12,Tennessee Tech,OVC,SR,33.0,32.0,34.5,7.2,16.3,0.444,4.8,10.5,0.46,2.4,5.8,0.416,3.8,5.2,0.721,0.9,4.3,5.2,2.3,0.8,0.2,3.3,2.2,20.6,,-3.06,,,,,,
1269,Kyle O'Quinn,2008-09,Norfolk State,MEAC,FR,31.0,2.0,16.7,2.0,4.1,0.492,1.5,2.6,0.556,0.5,1.5,0.378,0.7,1.2,0.622,1.0,2.4,3.4,0.4,0.3,0.8,1.1,1.7,5.3,,-9.49,,,,,,
1270,Kyle O'Quinn,2009-10,Norfolk State,MEAC,SO,30.0,29.0,28.3,4.8,8.8,0.549,4.3,6.6,0.655,0.5,2.2,0.239,1.3,2.5,0.527,2.7,6.0,8.7,0.9,0.5,1.7,2.1,3.1,11.5,,-6.42,,,,,,
1271,Kyle O'Quinn,2010-11,Norfolk State,MEAC,JR,32.0,31.0,32.8,6.2,11.1,0.556,5.7,9.2,0.625,0.5,2.0,0.238,3.6,4.7,0.762,3.3,7.8,11.1,1.0,0.6,3.4,2.1,3.6,16.4,,-7.45,,,,,,
1272,Kyle O'Quinn,2011-12,Norfolk State,MEAC,SR,36.0,36.0,31.3,5.7,9.9,0.573,5.5,9.1,0.61,0.2,0.9,0.188,4.3,6.2,0.696,3.2,7.2,10.3,1.4,0.7,2.7,2.6,3.3,15.9,,-5.39,,,,,,
1273,Kris Joseph,2008-09,Syracuse,Big East,FR,34.0,2.0,13.5,1.3,3.0,0.427,1.1,2.3,0.481,0.2,0.8,0.269,0.6,1.5,0.404,0.8,1.6,2.4,0.5,0.9,0.2,0.8,1.0,3.4,,9.48,,,,,,
1274,Kris Joseph,2009-10,Syracuse,Big East,SO,35.0,4.0,27.8,3.6,7.4,0.49,3.4,6.2,0.541,0.3,1.2,0.22,3.3,4.4,0.748,1.7,3.8,5.5,1.7,1.4,0.4,1.8,1.8,10.8,,7.21,,,,,,
1275,Kris Joseph,2010-11,Syracuse,Big East,JR,34.0,34.0,32.4,4.6,10.1,0.456,3.3,6.4,0.507,1.3,3.6,0.366,3.8,5.3,0.711,1.1,4.1,5.2,2.2,1.5,0.6,2.1,1.9,14.3,,8.79,,,,,,
1276,Kris Joseph,2011-12,Syracuse,Big East,SR,37.0,37.0,32.2,4.4,10.5,0.421,3.1,6.5,0.467,1.4,4.0,0.345,3.2,4.2,0.745,1.5,3.2,4.7,1.5,1.4,0.6,1.5,1.7,13.4,,8.02,,,,,,
1277,Darius Johnson-Odom,2009-10,Marquette,Big East,SO,34.0,22.0,29.7,4.5,9.8,0.455,2.3,5.3,0.439,2.1,4.5,0.474,1.9,2.8,0.677,0.5,2.2,2.6,2.4,0.9,0.2,2.0,2.3,13.0,,8.23,,,,,,
1278,Darius Johnson-Odom,2010-11,Marquette,Big East,JR,37.0,35.0,30.0,5.3,12.2,0.433,3.4,7.0,0.484,1.9,5.3,0.364,3.3,4.6,0.708,0.5,2.5,3.0,2.4,0.8,0.2,2.0,2.5,15.8,,8.51,,,,,,
1279,Darius Johnson-Odom,2011-12,Marquette,Big East,SR,34.0,33.0,32.9,6.2,13.8,0.447,3.9,7.9,0.493,2.3,5.9,0.385,3.7,4.9,0.764,0.6,2.9,3.5,2.7,0.9,0.1,2.4,2.0,18.3,,7.5,,,,,,
1280,Robbie Hummel,2007-08,Purdue,Big Ten,FR,33.0,31.0,28.5,3.6,7.5,0.484,2.3,4.6,0.507,1.3,2.8,0.447,2.9,3.4,0.865,2.6,3.5,6.1,2.5,1.3,0.7,1.4,3.0,11.4,,5.9,,,,,,
1281,Robbie Hummel,2008-09,Purdue,Big Ten,SO,32.0,27.0,29.5,4.2,9.6,0.438,2.4,4.8,0.497,1.8,4.8,0.381,2.2,2.9,0.755,1.7,5.3,7.0,1.9,1.1,0.6,1.0,2.4,12.5,,7.17,,,,,,
1282,Robbie Hummel,2009-10,Purdue,Big Ten,JR,27.0,27.0,30.3,5.0,11.0,0.456,3.4,6.6,0.517,1.6,4.4,0.364,4.1,4.5,0.902,1.6,5.3,6.9,2.1,1.1,1.0,1.0,2.1,15.7,,8.81,,,,,,
1283,Robbie Hummel,2011-12,Purdue,Big Ten,SR,35.0,35.0,32.2,5.5,13.3,0.417,3.5,7.9,0.44,2.1,5.4,0.383,3.2,3.9,0.825,1.6,5.6,7.2,1.9,0.7,1.2,0.9,2.1,16.4,,8.05,,,,,,
1284,Marcus Denmon,2008-09,Missouri,Big 12,FR,38.0,0.0,16.7,2.1,5.4,0.395,1.2,2.4,0.505,0.9,2.9,0.304,0.8,1.0,0.795,0.9,1.3,2.2,1.4,0.9,0.1,0.9,1.2,6.0,,6.72,,,,,,
1285,Marcus Denmon,2009-10,Missouri,Big 12,SO,34.0,4.0,21.0,3.4,8.0,0.429,1.4,3.1,0.462,2.0,4.9,0.407,1.6,2.2,0.697,0.9,2.1,2.9,1.4,0.9,0.1,0.9,1.4,10.4,,6.36,,,,,,
1286,Marcus Denmon,2010-11,Missouri,Big 12,JR,34.0,32.0,30.4,5.9,11.7,0.5,3.4,6.3,0.544,2.4,5.4,0.448,2.8,3.6,0.758,1.0,2.5,3.5,1.8,1.8,0.1,0.9,1.6,16.9,,6.5,,,,,,
1287,Marcus Denmon,2011-12,Missouri,Big 12,SR,35.0,35.0,34.6,5.7,12.4,0.46,2.9,5.5,0.526,2.8,6.9,0.407,3.4,3.8,0.896,1.0,4.0,5.0,2.1,1.5,0.0,1.2,1.0,17.7,,5.68,,,,,,
1288,Robert Sacre,2007-08,Gonzaga,WCC,FR,29.0,10.0,9.3,1.0,2.2,0.444,1.0,2.2,0.444,0.0,0.0,,0.9,1.4,0.634,0.6,1.2,1.8,0.2,0.2,0.2,0.5,1.2,2.8,,2.15,,,,,,
1289,Robert Sacre,2008-09,Gonzaga,WCC,SO,5.0,0.0,8.8,1.0,1.4,0.714,1.0,1.4,0.714,0.0,0.0,,1.0,1.6,0.625,1.4,1.4,2.8,0.0,0.2,0.4,0.4,1.4,3.0,,3.55,,,,,,
1290,Robert Sacre,2009-10,Gonzaga,WCC,SO,34.0,33.0,25.3,3.6,6.8,0.526,3.5,6.7,0.524,0.0,0.0,1.0,3.1,5.0,0.629,1.9,3.5,5.4,0.6,0.7,1.9,2.0,2.9,10.3,,3.83,,,,,,
1291,Robert Sacre,2010-11,Gonzaga,WCC,JR,35.0,35.0,25.9,3.9,8.1,0.488,3.9,8.1,0.489,0.0,0.0,0.0,4.7,5.7,0.823,2.5,3.9,6.3,1.1,0.8,1.9,2.1,2.7,12.5,,4.01,,,,,,
1292,Robert Sacre,2011-12,Gonzaga,WCC,SR,33.0,33.0,26.3,3.5,6.9,0.511,3.5,6.9,0.515,0.0,0.1,0.0,4.5,6.0,0.761,2.0,4.3,6.3,0.7,0.4,1.4,1.8,2.2,11.6,,3.25,,,,,,
1293,Kyrie Irving,2010-11,Duke,ACC,FR,11.0,8.0,27.5,5.0,9.5,0.529,3.4,5.9,0.569,1.6,3.5,0.462,5.8,6.5,0.901,0.5,2.8,3.4,4.3,1.5,0.5,2.5,2.1,17.5,,8.32,,,,,,
1294,Derrick Williams,2009-10,Arizona,Pac-10,FR,31.0,30.0,28.2,5.2,9.1,0.574,5.1,8.6,0.594,0.1,0.5,0.25,5.1,7.5,0.681,2.2,4.9,7.1,0.7,0.6,0.6,1.9,2.5,15.7,,8.1,,,,,,
1295,Derrick Williams,2010-11,Arizona,Pac-10,SO,38.0,38.0,30.0,5.9,10.0,0.595,4.8,8.1,0.601,1.1,1.9,0.568,6.5,8.7,0.746,2.8,5.5,8.3,1.1,1.0,0.7,2.6,2.8,19.5,,7.99,,,,,,
1296,Tristan Thompson,2010-11,Texas,Big 12,FR,36.0,34.0,30.7,4.8,8.8,0.546,4.8,8.8,0.546,0.0,0.0,,3.5,7.3,0.487,3.8,4.0,7.8,1.3,0.9,2.4,1.8,2.8,13.1,,7.96,,,,,,
1297,Brandon Knight,2010-11,Kentucky,SEC,FR,38.0,38.0,35.9,5.7,13.5,0.423,3.4,7.4,0.461,2.3,6.1,0.377,3.6,4.5,0.795,0.7,3.4,4.0,4.2,0.7,0.2,3.2,2.2,17.3,,8.91,,,,,,
1298,Kemba Walker,2008-09,UConn,Big East,FR,36.0,2.0,25.2,3.1,6.5,0.47,2.7,5.2,0.522,0.4,1.3,0.271,2.4,3.4,0.715,0.9,2.6,3.5,2.9,1.1,0.2,1.8,1.6,8.9,,8.57,,,,,,
1299,Kemba Walker,2009-10,UConn,Big East,SO,34.0,34.0,35.2,4.5,11.1,0.403,3.4,7.8,0.43,1.1,3.3,0.339,4.6,5.9,0.767,0.9,3.3,4.3,5.1,2.1,0.4,2.9,1.7,14.6,,9.15,,,,,,
1300,Kemba Walker,2010-11,UConn,Big East,JR,41.0,41.0,37.6,7.7,18.0,0.428,5.9,12.5,0.471,1.8,5.5,0.33,6.3,7.7,0.819,1.3,4.1,5.4,4.5,1.9,0.2,2.3,1.4,23.5,,10.44,,,,,,
1301,Jimmer Fredette,2007-08,BYU,MWC,FR,35.0,0.0,18.5,2.4,5.8,0.407,1.1,2.2,0.526,1.2,3.7,0.336,1.0,1.2,0.854,0.2,0.8,1.1,1.7,0.8,0.1,1.2,1.3,7.0,,1.33,,,,,,
1302,Jimmer Fredette,2008-09,BYU,MWC,SO,33.0,32.0,33.0,5.6,11.6,0.48,4.0,7.5,0.534,1.6,4.1,0.382,3.5,4.2,0.847,0.5,2.4,3.0,4.1,1.5,0.1,2.6,1.3,16.2,,4.15,,,,,,
1303,Jimmer Fredette,2009-10,BYU,MWC,JR,34.0,33.0,31.1,6.6,14.4,0.458,4.4,9.3,0.468,2.3,5.1,0.44,6.6,7.4,0.892,0.7,2.4,3.1,4.7,1.2,0.1,2.7,1.1,22.1,,3.0,,,,,,
1304,Jimmer Fredette,2010-11,BYU,MWC,SR,37.0,37.0,35.8,9.4,20.7,0.452,6.0,12.2,0.491,3.4,8.5,0.396,6.8,7.6,0.894,0.6,2.8,3.4,4.3,1.3,0.0,3.5,1.3,28.9,,5.76,,,,,,
1305,Klay Thompson,2008-09,Washington State,Pac-10,FR,33.0,33.0,33.1,4.8,11.5,0.421,2.8,6.5,0.427,2.1,5.0,0.412,0.8,0.9,0.903,0.8,3.4,4.2,1.9,0.9,0.6,2.1,2.0,12.5,,7.5,,,,,,
1306,Klay Thompson,2009-10,Washington State,Pac-10,SO,31.0,30.0,35.4,6.5,15.6,0.412,4.0,8.9,0.449,2.5,6.7,0.364,4.3,5.4,0.801,1.2,3.9,5.1,2.3,1.4,0.7,3.4,2.4,19.6,,4.65,,,,,,
1307,Klay Thompson,2010-11,Washington State,Pac-10,JR,34.0,33.0,34.7,7.1,16.2,0.436,4.2,9.0,0.466,2.9,7.2,0.398,4.6,5.4,0.838,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9,21.6,,6.81,,,,,,
1308,Alec Burks,2009-10,Colorado,Big 12,FR,30.0,30.0,30.2,5.7,10.7,0.538,5.1,8.9,0.575,0.6,1.8,0.352,5.0,6.4,0.772,1.9,3.1,5.0,1.8,1.2,0.4,1.9,2.5,17.1,,7.7,,,,,,
1309,Alec Burks,2010-11,Colorado,Big 12,SO,38.0,37.0,31.4,6.6,14.1,0.469,5.9,11.6,0.508,0.7,2.5,0.292,6.6,7.9,0.825,2.4,4.1,6.5,2.9,1.1,0.3,2.6,2.3,20.5,,5.61,,,,,,
1310,Markieff Morris,2008-09,Kansas,Big 12,FR,35.0,7.0,15.6,1.7,3.8,0.448,1.6,3.4,0.483,0.1,0.5,0.188,1.1,1.7,0.65,1.5,3.0,4.4,1.0,0.4,0.7,1.2,2.8,4.6,,7.9,,,,,,
1311,Markieff Morris,2009-10,Kansas,Big 12,SO,36.0,2.0,17.6,2.4,4.2,0.566,2.1,3.7,0.571,0.3,0.5,0.526,1.7,2.7,0.622,1.8,3.6,5.3,1.1,0.4,1.0,1.4,2.6,6.8,,8.25,,,,,,
1312,Markieff Morris,2010-11,Kansas,Big 12,JR,38.0,34.0,24.4,5.1,8.7,0.589,4.5,7.2,0.625,0.7,1.6,0.424,2.7,4.0,0.673,2.7,5.6,8.3,1.4,0.8,1.1,2.1,2.8,13.6,,7.62,,,,,,
1313,Marcus Morris,2008-09,Kansas,Big 12,FR,35.0,22.0,18.5,2.7,5.4,0.495,2.5,5.0,0.503,0.2,0.4,0.4,1.8,3.0,0.604,1.9,2.9,4.7,1.1,1.0,0.3,1.6,2.5,7.4,,7.9,,,,,,
1314,Marcus Morris,2009-10,Kansas,Big 12,SO,36.0,33.0,24.7,4.8,8.5,0.57,4.5,7.6,0.593,0.3,0.9,0.375,2.8,4.2,0.66,2.7,3.4,6.1,1.0,0.9,0.3,1.3,2.6,12.8,,8.25,,,,,,
1315,Marcus Morris,2010-11,Kansas,Big 12,JR,38.0,35.0,28.3,6.3,11.1,0.57,5.6,9.1,0.62,0.7,2.0,0.342,3.9,5.7,0.688,2.6,5.0,7.6,1.6,0.8,0.6,1.8,2.6,17.2,,7.62,,,,,,
1316,Kawhi Leonard,2009-10,San Diego State,MWC,FR,34.0,33.0,31.3,4.9,10.7,0.455,4.4,8.4,0.523,0.5,2.3,0.205,2.5,3.4,0.726,3.5,6.4,9.9,1.9,1.4,0.7,2.3,2.5,12.7,,4.21,,,,,,
1317,Kawhi Leonard,2010-11,San Diego State,MWC,SO,36.0,36.0,32.6,5.9,13.2,0.444,5.2,10.8,0.478,0.7,2.4,0.291,3.1,4.0,0.759,3.1,7.5,10.6,2.5,1.4,0.6,2.1,2.5,15.5,,6.36,,,,,,
1318,Nikola Vučević,2008-09,USC,Pac-10,FR,23.0,3.0,11.0,1.1,2.0,0.578,1.1,1.8,0.619,0.0,0.1,0.0,0.3,0.3,0.875,1.0,1.7,2.7,0.3,0.4,0.4,0.6,1.5,2.6,,9.15,,,,,,
1319,Nikola Vučević,2009-10,USC,Pac-10,SO,30.0,30.0,32.3,4.2,8.3,0.504,3.9,7.1,0.551,0.3,1.2,0.222,2.0,2.8,0.718,3.1,6.3,9.4,1.2,0.6,1.3,1.9,2.7,10.7,,6.47,,,,,,
1320,Nikola Vučević,2010-11,USC,Pac-10,JR,34.0,34.0,34.9,6.3,12.5,0.505,5.5,10.1,0.542,0.9,2.4,0.349,3.6,4.8,0.755,2.9,7.4,10.3,1.6,0.5,1.4,1.7,2.8,17.1,,7.97,,,,,,
1321,Iman Shumpert,2008-09,Georgia Tech,ACC,FR,31.0,31.0,31.6,3.4,8.7,0.391,2.4,5.5,0.438,1.0,3.3,0.314,2.8,4.2,0.656,0.7,3.2,3.9,5.0,2.1,0.2,3.7,2.9,10.6,,7.32,,,,,,
1322,Iman Shumpert,2009-10,Georgia Tech,ACC,SO,30.0,29.0,30.1,3.5,9.0,0.385,2.2,5.3,0.421,1.2,3.7,0.333,1.8,2.5,0.72,0.9,2.7,3.6,4.0,1.9,0.2,3.1,2.3,10.0,,9.02,,,,,,
1323,Iman Shumpert,2010-11,Georgia Tech,ACC,JR,31.0,31.0,32.0,5.7,14.1,0.406,4.4,9.2,0.474,1.4,4.9,0.278,4.5,5.6,0.806,1.7,4.2,5.9,3.5,2.7,0.2,2.3,2.8,17.3,,5.68,,,,,,
1324,Chris Singleton,2008-09,Florida State,ACC,FR,35.0,34.0,26.9,2.7,6.6,0.409,1.7,3.7,0.469,1.0,2.9,0.333,1.7,2.7,0.611,1.9,3.1,4.9,1.1,1.5,1.3,2.0,3.0,8.1,,7.91,,,,,,
1325,Chris Singleton,2009-10,Florida State,ACC,SO,32.0,32.0,31.4,3.7,8.9,0.412,2.6,5.2,0.494,1.1,3.7,0.297,1.8,3.6,0.496,2.1,4.9,7.0,2.2,2.2,1.5,3.0,3.0,10.2,,6.79,,,,,,
1326,Chris Singleton,2010-11,Florida State,ACC,JR,28.0,25.0,29.1,4.4,10.2,0.434,3.2,6.8,0.466,1.3,3.4,0.368,3.0,4.5,0.667,2.1,4.8,6.8,1.2,2.0,1.5,2.2,3.2,13.1,,6.45,,,,,,
1327,Tobias Harris,2010-11,Tennessee,SEC,FR,34.0,33.0,29.2,5.4,11.8,0.46,4.8,9.6,0.497,0.7,2.2,0.303,3.8,5.0,0.753,2.0,5.3,7.3,1.3,0.7,0.9,1.8,2.1,15.3,,8.73,,,,,,
1328,Nolan Smith,2007-08,Duke,ACC,FR,34.0,1.0,14.7,2.1,4.4,0.467,1.4,2.7,0.516,0.6,1.7,0.386,1.2,1.5,0.769,0.4,1.2,1.5,1.3,0.5,0.1,1.4,1.7,5.9,,9.28,,,,,,
1329,Nolan Smith,2008-09,Duke,ACC,SO,34.0,21.0,21.6,2.9,6.8,0.426,2.1,4.5,0.467,0.8,2.3,0.346,1.8,2.1,0.849,0.7,1.5,2.2,1.7,0.9,0.1,1.6,2.1,8.4,,9.07,,,,,,
1330,Nolan Smith,2009-10,Duke,ACC,JR,38.0,38.0,35.5,6.3,14.3,0.441,4.7,10.2,0.46,1.6,4.0,0.392,3.2,4.2,0.767,0.9,1.9,2.8,3.0,1.2,0.2,1.8,1.8,17.4,,9.21,,,,,,
1331,Nolan Smith,2010-11,Duke,ACC,SR,37.0,37.0,34.0,7.0,15.4,0.458,5.5,10.9,0.501,1.5,4.4,0.35,5.1,6.2,0.813,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9,20.6,,8.32,,,,,,
1332,Kenneth Faried,2007-08,Morehead State,OVC,FR,30.0,20.0,20.2,4.4,8.5,0.516,4.4,8.4,0.522,0.0,0.1,0.0,1.7,2.9,0.58,3.4,4.7,8.0,0.3,1.2,0.8,1.6,3.0,10.5,,-6.31,,,,,,
1333,Kenneth Faried,2008-09,Morehead State,OVC,SO,36.0,36.0,30.1,5.4,9.7,0.556,5.3,9.6,0.558,0.1,0.1,0.4,3.0,5.3,0.577,4.3,8.8,13.0,1.4,1.9,1.9,2.2,2.9,13.9,,-3.61,,,,,,
1334,Kenneth Faried,2009-10,Morehead State,OVC,JR,35.0,32.0,30.3,6.4,11.3,0.564,6.4,11.2,0.567,0.0,0.1,0.25,4.0,6.8,0.595,4.2,8.8,13.0,0.5,1.6,1.9,2.4,3.3,16.9,,-3.07,,,,,,
1335,Kenneth Faried,2010-11,Morehead State,OVC,SR,35.0,34.0,34.7,6.7,10.7,0.623,6.7,10.7,0.623,0.0,0.0,,4.0,6.9,0.577,5.7,8.8,14.5,1.1,1.9,2.3,2.6,3.1,17.3,,-3.13,,,,,,
1336,Reggie Jackson,2008-09,Boston College,ACC,FR,34.0,0.0,20.0,2.7,6.1,0.44,2.1,4.1,0.518,0.5,1.9,0.273,1.1,1.6,0.685,1.2,2.1,3.3,1.7,0.8,0.4,1.2,1.5,7.0,,7.23,,,,,,
1337,Reggie Jackson,2009-10,Boston College,ACC,SO,31.0,20.0,30.1,4.7,10.9,0.43,3.6,7.3,0.498,1.0,3.5,0.291,2.5,3.4,0.733,1.9,3.8,5.7,4.5,0.6,0.5,2.6,2.0,12.9,,7.21,,,,,,
1338,Reggie Jackson,2010-11,Boston College,ACC,JR,34.0,32.0,34.1,6.4,12.8,0.503,4.4,7.8,0.556,2.1,5.0,0.42,3.2,4.0,0.796,1.0,3.3,4.3,4.5,1.1,0.5,2.4,1.7,18.2,,7.31,,,,,,
1339,MarShon Brooks,2007-08,Providence,Big East,FR,18.0,0.0,9.3,1.2,3.1,0.382,0.9,2.0,0.444,0.3,1.1,0.263,0.8,1.2,0.714,0.4,0.5,0.9,0.4,0.3,0.2,0.7,0.7,3.4,,7.86,,,,,,
1340,MarShon Brooks,2008-09,Providence,Big East,SO,32.0,0.0,21.8,3.8,8.7,0.437,2.6,4.7,0.543,1.3,4.0,0.313,1.7,2.5,0.684,1.4,2.2,3.6,1.4,1.1,0.7,1.4,1.8,10.6,,7.23,,,,,,
1341,MarShon Brooks,2009-10,Providence,Big East,JR,31.0,25.0,26.6,5.4,11.6,0.467,3.9,7.4,0.533,1.5,4.2,0.351,1.9,2.7,0.711,1.8,2.4,4.2,1.4,1.3,0.5,1.7,2.3,14.2,,8.24,,,,,,
1342,MarShon Brooks,2010-11,Providence,Big East,SR,32.0,31.0,36.5,8.6,17.8,0.483,6.5,11.7,0.559,2.1,6.2,0.34,5.3,6.8,0.772,2.3,4.8,7.0,2.5,1.5,1.2,3.1,2.5,24.6,,6.44,,,,,,
1343,Jordan Hamilton,2009-10,Texas,Big 12,FR,34.0,0.0,19.9,3.6,8.8,0.41,1.9,4.1,0.461,1.7,4.7,0.365,1.1,1.9,0.578,1.0,2.7,3.7,1.5,0.8,0.4,1.4,1.3,10.0,,7.38,,,,,,
1344,Jordan Hamilton,2010-11,Texas,Big 12,SO,36.0,36.0,32.2,6.8,15.3,0.44,4.3,8.8,0.481,2.5,6.5,0.385,2.6,3.4,0.779,2.0,5.7,7.7,2.1,0.9,0.6,2.1,1.8,18.6,,7.96,,,,,,
1345,JaJuan Johnson,2007-08,Purdue,Big Ten,FR,34.0,17.0,16.6,2.0,4.7,0.421,2.0,4.6,0.427,0.0,0.1,0.0,1.4,2.2,0.649,1.1,2.0,3.1,0.3,0.4,1.0,0.6,1.7,5.4,,5.9,,,,,,
1346,JaJuan Johnson,2008-09,Purdue,Big Ten,SO,37.0,35.0,26.9,5.1,9.5,0.54,5.1,9.4,0.544,0.0,0.1,0.0,3.2,4.3,0.736,2.1,3.4,5.6,0.7,0.5,2.1,1.3,1.8,13.4,,7.17,,,,,,
1347,JaJuan Johnson,2009-10,Purdue,Big Ten,JR,35.0,34.0,31.2,5.5,10.8,0.507,5.5,10.7,0.512,0.0,0.1,0.0,4.5,6.3,0.718,2.3,4.8,7.1,0.7,0.9,2.1,1.8,2.0,15.5,,8.81,,,,,,
1348,JaJuan Johnson,2010-11,Purdue,Big Ten,SR,34.0,33.0,35.4,7.6,15.3,0.494,7.1,13.8,0.516,0.4,1.5,0.294,5.0,6.1,0.809,2.4,6.1,8.6,1.0,0.9,2.3,1.6,1.6,20.5,,8.69,,,,,,
1349,Norris Cole,2007-08,Cleveland State,Horizon,FR,34.0,0.0,14.4,1.6,4.2,0.38,1.3,2.9,0.44,0.3,1.2,0.238,1.4,1.8,0.817,0.3,1.1,1.4,0.8,0.6,0.0,1.1,1.7,4.9,,1.69,,,,,,
1350,Norris Cole,2008-09,Cleveland State,Horizon,SO,37.0,37.0,32.8,5.1,11.2,0.453,4.0,7.6,0.521,1.1,3.5,0.305,2.1,2.6,0.804,1.0,1.5,2.5,2.4,1.2,0.1,1.5,2.4,13.3,,2.12,,,,,,
1351,Norris Cole,2009-10,Cleveland State,Horizon,JR,33.0,33.0,34.2,5.6,13.0,0.432,4.5,9.6,0.464,1.2,3.4,0.342,4.0,5.0,0.799,0.4,2.3,2.8,4.4,1.8,0.1,2.8,2.5,16.3,,2.12,,,,,,
1352,Norris Cole,2010-11,Cleveland State,Horizon,SR,36.0,36.0,35.7,7.0,15.9,0.439,5.6,11.8,0.473,1.4,4.1,0.342,6.3,7.4,0.853,0.8,5.1,5.8,5.3,2.2,0.1,2.7,2.4,21.7,,1.74,,,,,,
1353,Cory Joseph,2010-11,Texas,Big 12,FR,36.0,36.0,32.4,3.8,8.9,0.422,2.3,5.4,0.429,1.4,3.5,0.413,1.4,2.0,0.699,0.6,2.9,3.6,3.0,1.0,0.3,1.5,1.8,10.4,,7.96,,,,,,
1354,Jimmy Butler,2008-09,Marquette,Big East,SO,35.0,0.0,19.6,1.6,3.1,0.514,1.6,2.9,0.534,0.0,0.1,0.0,2.5,3.2,0.768,2.1,1.8,3.9,0.7,0.5,0.5,0.5,1.9,5.6,,7.87,,,,,,
1355,Jimmy Butler,2009-10,Marquette,Big East,JR,34.0,34.0,34.3,4.4,8.2,0.53,3.9,7.3,0.534,0.5,0.9,0.5,5.5,7.2,0.766,2.4,3.9,6.4,2.0,1.3,0.6,1.1,2.0,14.7,,8.23,,,,,,
