Rk,Player,PTS,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,Player-additional
170,Corey McKeithan,526,La Salle,33,33,1136,187,445,108,238,79,207,73,80,16,86,102,82,34,8,48,66,526,0.42,0.454,0.382,0.913,0.545,0.509,G,SR,corey-mckeithan-1
171,Max Shulga,526,VCU,35,35,1148,153,352,81,166,72,186,148,189,61,144,205,139,62,4,59,69,526,0.435,0.488,0.387,0.783,0.595,0.537,G,SR,max-shulga-1
172,Camryn Carter,525,Louisiana State,32,32,1064,174,409,94,205,80,204,97,116,14,116,130,80,38,13,80,70,525,0.425,0.459,0.392,0.836,0.566,0.523,G,SR,cam-carter-1
173,Tylan Pope,525,Texas State,32,32,820,184,342,171,309,13,33,144,179,75,131,206,18,21,45,55,104,525,0.538,0.553,0.394,0.804,0.615,0.557,F,SR,tylan-pope-1
174,Joseph Bamisile,524,VCU,35,35,934,201,439,137,235,64,204,58,90,56,119,175,67,37,24,87,56,524,0.458,0.583,0.314,0.644,0.544,0.531,G,SR,joseph-bamisile-1
175,Desmond Claude,523,Southern California,33,32,1070,177,367,154,292,23,75,146,191,16,101,117,140,21,6,115,73,523,0.482,0.527,0.307,0.764,0.571,0.514,G,JR,desmond-claude-1
176,John Poulakidas,523,Yale,27,27,854,179,397,92,184,87,213,78,87,11,78,89,34,16,3,20,49,523,0.451,0.5,0.408,0.897,0.597,0.56,G,SR,john-poulakidas-1
177,Josh Bascoe,523,Bucknell,33,33,1206,186,426,113,240,73,186,78,103,14,112,126,146,47,4,80,61,523,0.437,0.471,0.392,0.757,0.551,0.522,G,SR,josh-bascoe-1
178,Kobe Sanders,523,Nevada,33,32,1045,173,376,132,256,41,120,136,171,22,106,128,147,37,9,61,72,523,0.46,0.516,0.342,0.795,0.572,0.515,G,SR,kobe-sanders-1
179,Jacob Holt,522,Sacramento State,32,32,861,174,345,135,233,39,112,135,188,66,156,222,35,18,26,67,71,522,0.504,0.579,0.348,0.718,0.601,0.561,F,SR,jacob-holt-1
180,Ketron Shaw,522,Maryland Eastern Shore,29,28,1020,176,388,163,338,13,50,157,239,38,134,172,91,27,11,92,43,522,0.454,0.482,0.26,0.657,0.52,0.47,G,JR,ketron-shaw-1
181,Zach Freemantle,522,Xavier,31,29,955,202,391,172,291,30,100,88,117,52,160,212,64,35,24,54,62,522,0.517,0.591,0.3,0.752,0.584,0.555,F,SR,zach-freemantle-1
182,Amarr Knox,521,Alabama State,36,36,1032,187,466,148,339,39,127,108,143,21,51,72,84,61,1,51,54,521,0.401,0.437,0.307,0.755,0.488,0.443,G,JR,amarr-knox-1
183,Kennard Davis,521,Southern Illinois,32,31,1091,177,389,113,219,64,170,103,135,46,112,158,82,41,7,72,73,521,0.455,0.516,0.376,0.763,0.575,0.537,G,SO,kennard-davis-1
184,Nick Davidson,521,Nevada,33,33,1096,176,352,130,228,46,124,123,176,61,153,214,92,27,39,63,79,521,0.5,0.57,0.371,0.699,0.598,0.565,F,JR,nick-davidson-2
185,Tarence Guinyard,521,UT Martin,32,28,903,164,369,113,213,51,156,142,191,33,116,149,72,43,6,58,71,521,0.444,0.531,0.327,0.743,0.567,0.514,G,JR,tarence-guinyard-1
186,Andrej Stojakovic,520,California,29,28,969,172,403,131,274,41,129,135,165,26,109,135,51,23,34,65,52,520,0.427,0.478,0.318,0.818,0.54,0.478,G,SO,andrej-stojakovic-2
187,Jaland Lowe,520,Pittsburgh,31,31,1098,166,442,125,288,41,154,147,166,27,102,129,169,55,7,92,67,520,0.376,0.434,0.266,0.886,0.499,0.422,G,SO,jaland-lowe-2
188,Devin Tillis,519,UC Irvine,38,38,1128,197,368,148,244,49,124,76,93,62,234,296,93,28,7,61,72,519,0.535,0.607,0.395,0.817,0.63,0.602,F,SR,devin-tillis-1
189,Elijah Fisher,519,Pacific,33,33,1112,170,352,151,288,19,64,160,214,42,118,160,48,24,9,88,88,519,0.483,0.524,0.297,0.748,0.572,0.51,G,JR,elijah-fisher-1
190,Marcus Dockery,519,Howard,32,30,1093,195,397,115,196,80,201,49,61,15,69,84,66,35,4,59,33,519,0.491,0.587,0.398,0.803,0.609,0.592,G,SR,marcus-dockery-1
191,Marcus Johnson,519,Bowling Green,32,32,1006,181,421,103,223,78,198,79,88,42,118,160,58,28,5,79,69,519,0.43,0.462,0.394,0.898,0.561,0.523,F,SR,marcus-johnson-5
192,Tariq Francis,519,NJIT,27,26,936,183,496,114,283,69,213,84,100,18,98,116,97,28,1,83,75,519,0.369,0.403,0.324,0.84,0.477,0.439,G,SO,tariq-francis-1
193,Robert McCray V,518,Jacksonville,32,31,949,189,442,142,298,47,144,93,122,31,124,155,143,44,20,109,76,518,0.428,0.477,0.326,0.762,0.518,0.481,G,JR,robert-mccray-1
194,Tayshawn Comer,518,Evansville,32,32,1151,165,427,117,269,48,158,140,178,9,108,117,131,38,5,105,64,518,0.386,0.435,0.304,0.787,0.506,0.443,G,JR,tayshawn-comer-1
195,Tyler Johnson,518,Mercer,33,33,1096,183,419,90,177,93,242,59,67,18,104,122,48,36,2,59,58,518,0.437,0.508,0.384,0.881,0.575,0.548,G,SR,tyler-johnson-5
