,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
0,82,971,2004,38:03,8.33,16.59,0.07,0.3,5.43,6.7,3.01,10.5,13.51,5.68,1.48,1.37,2.71,2.52,22.16,0.502,0.24,0.811,Kevin,Garnett,,,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
1,41,1526,2004,7:55,1.02,2.71,0.46,1.29,0.34,0.41,0.71,1.22,1.93,0.29,0.2,0.1,0.37,1.1,2.85,0.378,0.358,0.824,Josh,Davis,,,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
2,8,995,2004,6:07,0.5,1.13,0.0,0.0,0.13,0.38,0.88,0.38,1.25,0.0,0.25,0.0,0.13,1.75,1.13,0.444,0.0,0.333,Andrew,DeClercq,,,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
3,42,1217,2004,17:24,1.88,4.33,0.0,0.02,1.71,2.21,1.64,2.62,4.26,0.26,0.52,0.29,1.07,3.07,5.48,0.434,0.0,0.774,Obinna,Ekezie,,,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
4,15,1219,2004,20:25,2.47,6.93,1.4,3.87,1.0,1.33,0.87,2.67,3.53,0.93,0.53,0.13,0.8,2.13,7.33,0.356,0.362,0.75,Devean,George,,,,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
5,73,1336,2004,14:01,1.11,3.32,0.49,1.6,0.97,1.11,0.22,1.32,1.53,1.14,0.81,0.07,0.82,1.44,3.68,0.335,0.308,0.877,Eddie,Gill,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
6,61,700,2004,21:26,1.84,3.84,0.0,0.0,0.98,1.62,2.49,3.66,6.15,0.77,0.52,1.07,0.7,2.66,4.66,0.479,0.0,0.606,Dale,Davis,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
7,80,94,2004,27:22,2.59,5.24,0.0,0.03,2.83,4.2,3.26,6.43,9.69,0.81,0.86,1.76,1.48,3.35,8.0,0.494,0.0,0.673,Tyson,Chandler,C,7.0,1.0,240.0,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
8,63,1376,2004,28:40,6.24,11.59,0.0,0.0,3.59,4.98,1.84,3.52,5.37,0.59,0.33,0.92,2.59,3.21,16.06,0.538,0.0,0.72,Eddy,Curry,,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
9,71,1388,2004,20:17,3.35,7.65,0.35,1.0,1.35,1.69,1.03,2.32,3.35,0.69,0.59,0.34,1.1,1.94,8.41,0.438,0.352,0.8,Predrag,Drobnjak,,,,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
10,14,2952,2004,20:17,2.29,5.71,0.21,0.64,1.29,1.43,0.79,1.86,2.64,1.93,1.0,0.29,0.64,2.64,6.07,0.4,0.333,0.9,Kendall,Gill,,,,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
11,75,1086,2004,27:01,3.64,8.31,0.65,2.2,3.31,4.05,0.27,1.99,2.25,4.12,0.68,0.04,1.04,1.04,11.24,0.438,0.297,0.816,Antonio,Daniels,G,,,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
12,82,1562,2004,24:31,5.29,12.88,1.63,4.04,2.84,3.29,0.67,1.95,2.62,2.0,0.65,0.12,2.27,2.73,15.06,0.411,0.405,0.863,Ben,Gordon,G,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
13,82,1155,2004,32:50,5.87,12.7,0.74,2.2,3.49,4.28,0.8,2.23,3.04,3.0,1.09,0.33,2.5,2.12,15.96,0.462,0.339,0.815,Ricky,Davis,,,,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
14,57,1474,2004,18:47,2.72,7.42,0.53,1.84,1.7,2.19,0.39,1.95,2.33,1.75,0.6,0.11,1.32,2.12,7.67,0.366,0.286,0.776,Willie,Green,,,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
15,25,1504,2004,17:22,2.8,7.2,0.52,1.56,2.84,3.32,0.52,1.88,2.4,0.68,0.68,0.08,1.0,1.48,8.96,0.389,0.333,0.855,Matt,Carroll,,,,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
16,63,1419,2004,16:42,2.95,7.1,0.76,2.33,1.38,1.54,0.51,1.38,1.89,1.76,0.68,0.06,1.08,1.56,8.05,0.416,0.327,0.897,Juan,Dixon,,,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
17,56,170,2004,31:56,6.38,12.41,0.02,0.11,5.04,6.55,2.32,5.0,7.32,2.41,0.66,1.66,2.45,2.61,17.8,0.514,0.167,0.768,Pau,Gasol,C-F,7.0,0.0,250.0,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
18,78,1103,2004,21:47,2.0,3.99,0.0,0.0,0.51,0.92,2.12,3.38,5.5,0.72,0.33,2.04,0.74,2.58,4.51,0.502,0.0,0.556,Adonal,Foyle,,,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
19,10,1576,2004,11:00,1.0,3.1,0.0,0.0,0.7,1.2,1.2,1.3,2.5,0.3,0.3,0.4,0.2,1.9,2.7,0.323,0.0,0.583,Corsley,Edwards,,,,,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
20,43,1501,2004,11:35,1.3,3.26,0.72,1.86,0.49,0.58,0.4,1.02,1.42,0.7,0.35,0.09,0.33,0.81,3.81,0.4,0.387,0.84,Richie,Frahm,,,,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
