,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
0,74,2290,1978,30:34,8.324,17.432,0,0,6.257,8.473,1.108,1.905,6.703,1.554,0.946,0.189,2.081,4.23,22.905,0.478,0,0.738,John,Drew,,,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1,79,2382,1978,34:31,5.911,12.709,0,0,4.127,5.063,0.101,0.608,2.316,8.62,2.101,0.076,1.937,3.101,15.949,0.465,0,0.815,Phil,Ford,,,,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
2,77,2459,1978,15:53,2.338,4.909,0,0,1.351,1.935,0.727,0.688,2.429,1.312,0.286,0.065,1.208,1.403,6.026,0.476,0,0.698,Marty,Byrnes,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
3,39,46409585,1978,6:50,1.077,2.282,0,0,0.513,0.872,0.308,0.385,1.333,0.538,0.179,0.0,0.128,1.0,2.667,0.472,0,0.588,Steve,Green,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
4,56,46412086,1978,13:52,1.589,4.036,0,0,0.857,1.125,0.107,0.232,1.214,2.393,0.571,0.071,0.5,1.893,4.036,0.394,0,0.762,Tommy,Green,,,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
5,78,2269,1978,33:42,8.064,16.154,0,0,4.244,5.141,0.346,1.705,5.731,4.679,0.551,0.359,1.41,3.321,20.372,0.499,0,0.825,Bob,Dandridge,,,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
6,42,46406977,1978,15:24,1.048,3.071,0,0,0.524,0.81,0.262,0.5,1.929,2.667,0.381,0.024,0.881,1.881,2.619,0.341,0,0.647,Charles,Dudley,,,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
7,51,2286,1978,16:20,2.02,5.373,0,0,1.294,1.647,0.157,0.353,1.137,2.412,0.431,0.059,1.235,1.275,5.333,0.376,0,0.786,Charlie,Criss,,,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
8,77,2364,1978,16:50,3.143,6.922,0,0,1.805,2.208,0.662,1.013,1.831,2.325,0.831,0.091,1.753,1.961,8.091,0.454,0,0.818,Mike,Bratz,,,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
9,81,2312,1978,30:17,5.358,10.84,0,0,2.593,3.16,1.086,1.741,2.827,2.037,1.259,0.975,1.889,2.235,13.309,0.494,0,0.82,Ron,Brewer,,,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
10,82,2359,1978,31:01,3.476,7.024,0,0,0.854,1.11,0.488,1.988,2.646,4.341,1.902,0.195,1.171,1.817,7.805,0.495,0,0.769,Don,Buse,,,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
