,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
0,81,2290,1983,22:11,6.309,13.173,0.074,0.272,4.963,6.383,1.741,2.284,4.16,1.667,1.086,0.025,2.358,2.568,17.654,0.479,0.273,0.778,John,Drew,,,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1,80,2673,1983,17:48,3.25,7.25,0.275,1.05,1.525,1.938,0.475,1.025,1.5,2.15,0.675,0.113,1.35,2.413,8.3,0.448,0.262,0.787,Rod,Foster,,,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
2,75,2659,1983,15:39,2.4,5.44,0.0,0.08,1.267,1.773,1.2,1.307,2.507,2.347,0.52,0.16,1.267,2.053,6.067,0.441,0.0,0.714,Darren,Daye,,,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
3,80,2631,1983,19:06,1.763,3.738,0.0,0.025,1.613,2.2,1.538,2.6,4.138,1.6,0.55,0.825,0.85,2.713,5.138,0.472,0.0,0.733,Bill,Garnett,,,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
4,73,3064,1983,12:25,1.11,2.425,0.0,0.014,0.411,0.781,1.178,2.753,3.932,0.493,0.329,0.425,0.753,1.959,2.63,0.458,0.0,0.526,Earl,Cureton,,,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
5,81,2382,1983,24:56,2.914,5.802,0.025,0.185,1.21,1.444,0.346,1.346,1.691,5.062,0.728,0.099,1.667,3.0,7.062,0.502,0.133,0.838,Phil,Ford,,,,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
6,49,2986,1983,13:36,2.041,4.653,0.0,0.0,1.122,1.571,1.143,2.286,3.551,0.51,0.408,0.347,1.224,2.612,5.204,0.439,0.0,0.714,Sidney,Green,,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
7,73,2993,1983,32:22,6.493,14.055,0.041,0.137,3.329,4.288,0.452,1.548,2.0,7.644,1.658,0.137,2.644,2.329,16.356,0.462,0.3,0.776,Larry,Drew,,,,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
8,77,2925,1983,32:17,5.883,10.494,0.0,0.013,5.247,6.519,2.532,5.896,8.429,1.39,0.571,1.26,2.558,3.403,17.013,0.561,0.0,0.805,Bill,Cartwright,,,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
9,80,3077,1983,37:01,8.288,17.375,0.0,0.013,3.913,5.413,2.938,5.013,7.95,2.475,1.288,1.775,3.35,3.05,20.488,0.477,0.0,0.723,Joe,"Barry,Carroll",,,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
10,82,542,1983,30:47,4.39,7.366,0.0,0.0,3.037,3.988,2.012,5.902,7.915,1.098,0.488,1.695,2.085,2.61,11.817,0.596,0.0,0.761,James,Donaldson,,,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
11,15,2286,1983,14:20,1.333,3.467,0.067,0.4,0.8,1.067,0.333,1.0,1.333,2.533,0.533,0.0,0.667,0.733,3.533,0.385,0.167,0.75,Charlie,Criss,,,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
