,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
0,72,1670,2006,15:11,1.72,4.08,0.63,1.9,0.38,0.53,0.31,1.35,1.65,1.9,0.61,0.1,1.01,1.07,4.44,0.422,0.328,0.711,Jordan,Farmar,,,,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1,8,1719,2006,4:09,0.63,1.88,0.25,1.0,0.13,0.13,0.0,0.13,0.13,1.13,0.13,0.0,0.13,0.25,1.63,0.333,0.25,1.0,Desmon,Farmer,,,,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
2,41,1715,2006,8:47,1.17,3.07,0.29,1.22,0.27,0.37,0.27,0.63,0.9,0.37,0.37,0.1,0.37,0.51,2.9,0.381,0.24,0.733,Quincy,Douby,,,,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
3,76,971,2006,39:22,8.39,17.64,0.16,0.74,5.47,6.55,2.41,10.42,12.83,4.12,1.17,1.66,2.7,2.42,22.42,0.476,0.214,0.835,Kevin,Garnett,,,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
4,60,1219,2006,21:12,2.43,6.17,0.88,2.5,0.6,0.8,0.95,2.6,3.55,0.55,0.77,0.38,0.85,2.38,6.35,0.395,0.353,0.75,Devean,George,,,,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
5,44,700,2006,10:24,0.75,1.68,0.0,0.0,0.39,0.59,1.34,1.77,3.11,0.27,0.23,0.77,0.34,1.34,1.89,0.446,0.0,0.654,Dale,Davis,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
6,73,94,2006,34:17,4.0,6.41,0.0,0.01,1.45,2.75,4.38,8.0,12.38,0.9,0.51,1.77,1.73,3.34,9.45,0.624,0.0,0.527,Tyson,Chandler,C,7.0,1.0,240.0,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
7,81,1376,2006,34:40,7.22,12.54,0.01,0.01,5.0,8.14,2.41,4.64,7.05,0.84,0.42,0.49,3.64,3.27,19.46,0.576,1.0,0.615,Eddy,Curry,,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
8,81,186,2006,21:58,3.83,9.12,1.17,3.19,1.58,1.96,0.84,1.73,2.57,1.02,0.51,0.3,1.48,2.44,10.41,0.419,0.368,0.805,Gerald,Green,G-F,6.0,7.0,205.0,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
9,6,1733,2006,8:30,0.0,0.5,0.0,0.0,0.0,0.67,0.5,0.67,1.17,1.5,0.0,0.0,0.33,1.0,0.0,0.0,0.0,0.0,Will,Conroy,,,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
10,80,1086,2006,21:46,2.15,4.86,0.24,0.79,2.6,3.13,0.23,1.66,1.89,3.63,0.49,0.11,0.86,0.99,7.14,0.442,0.302,0.832,Antonio,Daniels,G,,,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
11,31,1682,2006,5:46,0.71,1.68,0.0,0.0,0.23,0.32,0.68,0.74,1.42,0.23,0.19,0.16,0.26,0.9,1.65,0.423,0.0,0.7,Paul,Davis,,,,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
12,82,1562,2006,32:57,7.43,16.32,1.89,4.57,4.63,5.37,0.43,2.72,3.15,3.61,0.78,0.21,3.04,3.07,21.38,0.455,0.413,0.864,Ben,Gordon,G,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
13,81,1155,2006,37:09,6.25,13.44,1.52,3.83,2.95,3.52,0.67,3.22,3.89,4.75,0.99,0.28,2.59,2.33,16.96,0.465,0.397,0.839,Ricky,Davis,,,,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
14,74,1474,2006,24:53,4.82,11.73,0.69,2.12,1.0,1.5,0.57,1.57,2.14,1.51,0.76,0.05,1.43,1.95,11.34,0.411,0.325,0.667,Willie,Green,,,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
15,72,1504,2006,26:07,3.96,9.14,1.54,3.71,2.61,2.89,0.49,2.39,2.88,1.26,0.74,0.13,1.01,2.44,12.07,0.433,0.416,0.904,Matt,Carroll,,,,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
16,81,1419,2006,23:45,3.69,8.68,0.98,2.79,1.25,1.43,0.33,1.62,1.95,1.52,0.94,0.11,1.25,2.19,9.6,0.425,0.35,0.871,Juan,Dixon,,,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
17,58,170,2006,36:01,7.83,14.52,0.05,0.19,5.05,6.78,2.55,7.28,9.83,3.4,0.48,2.14,2.74,2.34,20.76,0.539,0.273,0.746,Pau,Gasol,C-F,7.0,0.0,250.0,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
18,48,1103,2006,9:51,1.0,1.77,0.0,0.0,0.23,0.52,1.06,1.56,2.63,0.4,0.23,1.04,0.48,1.27,2.23,0.565,0.0,0.44,Adonal,Foyle,,,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
19,78,171,2006,26:37,4.12,9.74,0.67,1.83,1.95,2.68,1.19,3.27,4.46,1.28,0.91,0.95,1.79,2.46,10.85,0.422,0.364,0.727,Rudy,Gay,F,6.0,8.0,230.0,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
20,72,164,2006,26:19,4.14,9.57,0.04,0.25,1.18,1.5,1.26,4.22,5.49,0.93,0.5,0.58,1.39,3.0,9.5,0.433,0.167,0.787,Channing,Frye,F-C,7.0,0.0,255.0,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
21,55,1643,2006,12:21,1.56,3.58,0.07,0.49,0.55,0.89,1.4,2.07,3.47,0.71,0.31,0.58,0.89,1.71,3.75,0.437,0.148,0.612,Andray,Blatche,,,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
22,40,1624,2006,6:28,0.58,1.55,0.05,0.28,0.38,0.63,0.28,0.8,1.08,0.55,0.43,0.1,0.7,0.95,1.58,0.371,0.182,0.6,Orien,Greene,,,,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
23,28,1325,2006,11:10,1.5,3.04,0.64,1.57,0.89,0.96,0.46,1.64,2.11,1.11,0.79,0.04,0.82,1.5,4.54,0.494,0.409,0.926,Brian,Cardinal,,,,,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
24,38,1726,2006,7:05,1.11,1.95,0.0,0.03,0.24,0.39,0.68,1.26,1.95,0.05,0.16,0.11,0.76,0.68,2.45,0.568,0.0,0.6,Andre,Brown,,,,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
25,44,1232,2006,28:07,3.18,7.8,0.95,2.52,3.98,4.8,0.75,2.82,3.57,3.86,0.93,0.27,2.27,2.86,11.3,0.408,0.378,0.829,Steve,Francis,G,,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
26,80,1018,2006,25:27,3.88,8.18,0.04,0.25,2.13,2.93,1.53,3.45,4.98,1.36,0.66,0.5,1.45,3.04,9.91,0.474,0.15,0.726,Shareef,Abdur-Rahim,F,,,,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
27,2,1224,2006,18:30,1.5,4.0,0.0,1.0,0.0,0.0,0.0,1.5,1.5,5.5,0.0,0.5,3.0,2.0,3.0,0.375,0.0,0.0,Anthony,Carter,,,,,16,MIA,Miami,East,Southeast,Miami Heat,Heat
28,66,1699,2006,28:18,3.26,7.82,0.98,2.89,0.86,1.18,0.73,4.2,4.92,1.89,1.12,0.23,0.94,1.3,8.36,0.417,0.34,0.731,Jorge,Garbajosa,,,,,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
29,48,1709,2006,9:22,0.67,2.04,0.13,0.58,0.5,0.77,0.17,0.67,0.83,1.73,0.46,0.15,0.65,1.06,1.96,0.327,0.214,0.649,Dee,Brown,,,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
30,58,1451,2006,28:38,4.02,9.57,1.4,3.91,2.12,2.67,0.95,3.38,4.33,2.57,0.76,0.16,1.57,2.4,11.55,0.42,0.357,0.794,Devin,Brown,,,,,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
31,58,830,2006,24:15,4.5,10.78,0.55,1.88,2.76,3.14,0.47,2.41,2.88,4.66,0.48,0.14,1.74,2.17,12.31,0.418,0.294,0.879,Sam,Cassell,,,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
32,82,1529,2006,16:41,1.9,4.59,0.56,1.68,0.85,1.09,0.82,2.43,3.24,1.07,0.56,0.1,0.74,1.18,5.22,0.415,0.333,0.787,Carlos,Delfino,,,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
