,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
0,50,1847,2009,13:03,1.1,2.06,0.0,0.0,0.74,1.24,2.1,2.16,4.26,0.44,0.3,0.1,0.46,2.3,2.94,0.534,0.0,0.597,Jon,Brockman,,,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
1,81,1670,2009,18:10,2.77,6.36,1.06,2.83,0.7,1.05,0.17,1.44,1.62,1.57,0.64,0.14,0.89,1.35,7.3,0.435,0.376,0.671,Jordan,Farmar,,,,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
2,69,169,2009,35:46,5.48,9.43,0.0,0.01,3.65,5.45,3.01,6.26,9.28,2.39,1.0,1.58,1.96,3.68,14.61,0.581,0.0,0.67,Marc,Gasol,C,7.0,1.0,255.0,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
3,50,1857,2009,7:40,1.12,3.02,0.04,0.1,0.52,0.72,0.36,0.88,1.24,0.42,0.14,0.26,0.46,0.5,2.8,0.371,0.4,0.722,Earl,Clark,,,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
4,80,136,2009,18:02,2.78,6.14,0.93,2.35,1.46,1.99,0.48,1.66,2.14,3.01,0.6,0.1,1.58,1.64,7.94,0.452,0.394,0.736,Goran,Dragic,G,6.0,3.0,190.0,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
5,69,971,2009,29:53,5.83,11.19,0.01,0.07,2.68,3.2,1.13,6.2,7.33,2.68,0.99,0.83,1.46,2.46,14.35,0.521,0.2,0.837,Kevin,Garnett,,,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
6,56,1850,2009,19:27,3.2,6.98,1.21,3.13,0.98,1.21,0.71,1.21,1.93,2.0,0.75,0.05,0.98,2.07,8.59,0.458,0.389,0.809,Toney,Douglas,,,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
7,44,1219,2009,17:18,2.02,4.68,1.09,2.8,0.36,0.52,0.48,2.11,2.59,0.73,0.93,0.23,0.34,1.98,5.5,0.432,0.39,0.696,Devean,George,,,,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
8,81,167,2009,33:55,4.84,11.44,2.3,6.02,3.1,3.79,0.8,4.11,4.91,1.67,0.93,0.72,1.36,2.36,15.07,0.423,0.381,0.818,Danilo,Gallinari,F,6.0,10.0,225.0,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
9,66,84,2009,11:57,1.33,3.36,0.0,0.09,0.5,0.8,0.8,1.47,2.27,0.5,0.42,0.14,0.36,1.61,3.17,0.396,0.0,0.623,DeMarre,Carroll,F,6.0,8.0,215.0,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
10,51,94,2009,22:50,2.14,3.73,0.0,0.0,2.25,3.08,2.24,4.04,6.27,0.31,0.33,1.08,1.78,2.71,6.53,0.574,0.0,0.732,Tyson,Chandler,C,7.0,1.0,240.0,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
11,7,1376,2009,9:00,1.14,3.0,0.0,0.0,1.43,2.43,0.57,1.29,1.86,0.0,0.0,0.14,1.86,1.86,3.71,0.381,0.0,0.588,Eddy,Curry,,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
12,5,1733,2009,7:13,0.6,2.0,0.0,0.6,0.0,0.4,0.0,0.6,0.6,1.4,0.0,0.0,0.8,1.0,1.2,0.3,0.0,0.0,Will,Conroy,,,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
13,65,95,2009,35:41,6.34,13.23,0.62,2.31,1.98,2.46,1.43,3.92,5.35,2.12,0.71,0.75,1.66,2.83,15.28,0.479,0.267,0.806,Wilson,Chandler,F,6.0,9.0,225.0,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
14,2,1682,2009,4:00,1.0,2.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.5,0.0,0.5,0.0,0.0,2.5,0.5,0.0,0.5,Paul,Davis,,,,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
15,62,1562,2009,27:53,4.69,11.27,1.21,3.77,3.19,3.71,0.42,1.5,1.92,2.68,0.79,0.1,1.9,2.37,13.79,0.416,0.321,0.861,Ben,Gordon,G,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
16,33,1155,2009,15:09,1.88,4.33,0.48,1.27,0.55,0.94,0.3,1.42,1.73,1.18,0.33,0.09,0.88,1.18,4.79,0.434,0.381,0.581,Ricky,Davis,,,,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
17,73,1474,2009,21:15,3.4,7.44,0.64,1.86,1.3,1.56,0.27,1.49,1.77,2.08,0.44,0.15,0.92,1.85,8.74,0.457,0.346,0.833,Willie,Green,,,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
18,25,1504,2009,4:48,0.72,2.0,0.16,0.76,0.24,0.24,0.16,0.32,0.48,0.24,0.2,0.0,0.28,0.52,1.84,0.36,0.211,1.0,Matt,Carroll,,,,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
19,82,138,2009,24:17,2.74,5.98,1.46,3.2,1.27,1.68,1.21,2.22,3.43,1.4,0.99,0.2,0.83,1.98,8.22,0.459,0.458,0.754,Jared,Dudley,F,6.0,7.0,237.0,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
20,65,170,2009,36:58,6.95,12.98,0.0,0.08,4.4,5.57,3.74,7.55,11.29,3.35,0.57,1.74,2.2,2.34,18.31,0.536,0.0,0.79,Pau,Gasol,C-F,7.0,0.0,250.0,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
21,81,1859,2009,28:53,4.9,11.75,0.95,2.65,2.75,3.33,0.3,2.06,2.36,4.4,1.01,0.02,2.88,1.21,13.51,0.417,0.358,0.826,Jonny,Flynn,G,,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
22,80,171,2009,39:40,7.5,16.1,0.83,2.53,3.76,5.0,1.44,4.46,5.9,1.91,1.48,0.8,2.11,2.51,19.59,0.466,0.327,0.753,Rudy,Gay,F,6.0,8.0,230.0,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
23,82,1777,2009,35:35,7.01,16.23,2.55,6.4,2.99,3.63,0.66,1.96,2.62,5.29,0.84,0.17,2.83,2.43,19.56,0.432,0.398,0.822,Aaron,Brooks,,,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
24,81,164,2009,27:02,3.91,8.68,2.12,4.84,1.21,1.49,0.81,4.46,5.27,1.4,0.79,0.91,0.9,3.25,11.16,0.451,0.439,0.81,Channing,Frye,F-C,7.0,0.0,255.0,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
