,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
0,7,1040,1998,2:51,1.0,2.43,0.0,0.0,0.43,0.86,1.29,0.29,1.57,0.43,0.0,0.0,0.14,0.43,2.43,0.412,0.0,0.5,Ben,Davis,,,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1,47,971,1998,37:53,8.81,19.15,0.09,0.3,3.09,4.38,3.53,6.87,10.4,4.3,1.66,1.77,2.87,3.23,20.79,0.46,0.286,0.704,Kevin,Garnett,,,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
2,47,995,1998,23:24,2.94,5.87,0.0,0.0,2.02,3.0,2.21,3.21,5.43,0.66,1.06,0.62,1.15,3.43,7.89,0.5,0.0,0.674,Andrew,DeClercq,,,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
3,38,513,1998,29:27,3.79,9.21,2.34,5.82,1.34,1.61,0.32,1.47,1.79,3.53,0.61,0.05,1.39,1.34,11.26,0.411,0.403,0.836,Joe,Dumars,,,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
4,35,902,1998,10:39,0.83,2.06,0.03,0.14,0.54,0.63,0.57,0.89,1.46,0.4,0.49,0.26,0.29,2.37,2.23,0.403,0.2,0.864,Bill,Curley,,,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
5,50,700,1998,27:33,3.22,6.04,0.0,0.0,1.52,2.46,3.1,5.22,8.32,0.44,0.4,1.14,0.86,2.3,7.96,0.533,0.0,0.618,Dale,Davis,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
6,42,2948,1998,20:34,3.88,8.0,1.64,3.45,0.67,0.81,0.43,1.6,2.02,1.14,0.86,0.07,1.07,1.0,10.07,0.485,0.476,0.824,Dell,Curry,,,,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
7,28,1194,1998,14:36,1.29,2.86,0.0,0.04,0.75,1.32,1.29,2.14,3.43,0.36,0.36,1.11,0.75,1.86,3.32,0.45,0.0,0.568,Keon,Clark,,,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
8,48,734,1998,22:46,2.38,5.63,0.27,0.63,0.83,1.04,0.29,1.83,2.13,3.63,0.69,0.06,1.15,1.29,5.85,0.422,0.433,0.8,Vinny,Del Negro,,,,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
9,24,536,1998,11:43,1.33,3.0,0.17,0.42,0.38,0.54,0.29,1.08,1.38,1.25,0.71,0.21,0.88,0.96,3.21,0.444,0.4,0.692,Blue,Edwards,,,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
10,50,2952,1998,32:08,4.72,11.86,0.04,0.34,2.28,3.34,1.22,3.66,4.88,2.46,2.68,0.52,1.42,3.24,11.76,0.398,0.118,0.683,Kendall,Gill,,,,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
11,46,1086,1998,13:17,1.8,3.98,0.11,0.37,1.07,1.41,0.28,0.89,1.17,2.3,0.65,0.13,0.96,0.85,4.78,0.454,0.294,0.754,Antonio,Daniels,G,,,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
12,46,2893,1998,14:53,1.04,2.37,0.0,0.0,0.41,0.87,1.72,2.48,4.2,0.15,0.28,0.83,0.52,2.52,2.5,0.44,0.0,0.475,Chris,Dudley,,,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
13,46,1155,1998,12:09,1.76,4.35,0.04,0.26,0.98,1.28,0.87,0.96,1.83,1.26,0.65,0.15,1.17,1.0,4.54,0.405,0.167,0.763,Ricky,Davis,,,,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
14,49,702,1998,24:02,4.41,8.8,0.0,0.02,1.65,2.41,1.88,3.67,5.55,1.45,0.78,0.82,2.27,3.69,10.47,0.501,0.0,0.686,Bison,Dele,,,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
15,15,1074,1998,9:36,0.87,2.93,0.27,0.87,0.27,0.27,0.4,0.87,1.27,1.0,0.33,0.2,0.13,0.53,2.27,0.295,0.308,1.0,Brian,Evans,,,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
16,43,1103,1998,14:12,1.21,2.81,0.0,0.0,0.58,1.19,1.84,2.67,4.51,0.42,0.35,1.0,0.72,2.09,3.0,0.43,0.0,0.49,Adonal,Foyle,,,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
17,49,1029,1998,21:30,2.37,4.71,0.0,0.0,0.78,1.04,2.02,3.22,5.24,0.57,0.61,0.92,0.59,2.31,5.51,0.502,0.0,0.745,Dean,Garrett,,,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
18,4,972,1998,9:00,0.5,1.5,0.0,0.0,1.25,1.5,0.5,1.25,1.75,0.25,0.25,0.0,1.75,3.0,2.25,0.333,0.0,0.833,Mark,Davis,,,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
19,34,1182,1998,13:00,1.38,3.79,0.47,1.44,0.24,0.24,0.09,0.85,0.94,1.53,0.35,0.12,0.91,1.79,3.47,0.364,0.327,1.0,Bryce,Drew,,,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
20,35,954,1998,25:00,3.51,7.91,0.0,0.03,1.77,2.8,2.26,3.6,5.86,0.51,0.69,0.26,2.14,3.23,8.8,0.444,0.0,0.633,Jason,Caffey,,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
21,34,2946,1998,19:37,2.97,6.56,0.0,0.03,2.32,2.97,0.97,2.74,3.71,0.56,0.65,0.35,1.06,1.41,8.26,0.453,0.0,0.782,Armen,Gilliam,,,,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
22,50,1188,1998,18:05,2.18,4.86,0.0,0.02,1.8,2.22,1.4,2.06,3.46,0.8,0.46,0.34,0.96,1.76,6.16,0.449,0.0,0.811,Kornel,David,,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
23,37,622,1998,15:38,1.32,2.49,0.0,0.0,0.76,1.03,1.35,2.41,3.76,0.27,0.3,0.08,0.43,2.14,3.41,0.533,0.0,0.737,Terry,Davis,,,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
24,50,817,1998,22:53,1.8,4.12,0.02,0.3,1.26,1.58,0.38,1.78,2.16,1.56,0.84,0.14,0.74,2.7,4.88,0.437,0.067,0.797,Michael,Curry,,,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
