,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
0,47,2659,1987,13:56,2.383,4.617,0.0,0.021,1.255,1.851,0.638,0.979,1.617,1.511,0.617,0.085,0.936,1.447,6.021,0.516,0.0,0.678,Darren,Daye,,,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
1,69,3064,1987,16:20,1.928,4.493,0.0,0.043,0.478,0.913,1.406,2.522,3.928,0.913,0.464,0.522,0.841,1.957,4.333,0.429,0.0,0.524,Earl,Cureton,,,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
2,82,513,1987,33:19,5.524,11.707,0.049,0.232,3.061,3.756,0.768,1.671,2.439,4.72,1.061,0.183,2.098,1.89,14.159,0.472,0.211,0.815,Joe,Dumars,,,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
3,82,2986,1987,24:59,3.146,7.134,0.0,0.024,1.537,2.317,2.695,5.134,7.829,1.134,0.793,0.39,1.805,3.878,7.829,0.441,0.0,0.663,Sidney,Green,,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
4,74,2993,1987,27:21,4.432,9.73,0.351,1.216,1.122,1.459,0.284,1.324,1.608,5.176,0.878,0.0,2.054,1.541,10.338,0.456,0.289,0.769,Larry,Drew,,,,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
5,82,2925,1987,20:26,3.5,6.439,0.0,0.0,4.146,5.195,1.549,3.134,4.683,1.037,0.524,0.524,1.646,2.854,11.146,0.544,0.0,0.798,Bill,Cartwright,,,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
6,78,585,1987,28:30,5.769,11.628,0.0,0.0,4.244,5.513,2.872,4.513,7.385,0.846,0.397,0.41,2.269,3.59,15.782,0.496,0.0,0.77,Kevin,Duckworth,,,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
7,79,2948,1987,18:58,4.304,9.392,0.354,1.025,1.0,1.278,0.544,1.557,2.101,1.886,1.19,0.278,1.367,1.62,9.962,0.458,0.346,0.782,Dell,Curry,,,,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
8,20,2884,1987,3:42,0.4,0.85,0.0,0.0,0.9,1.3,0.15,0.7,0.85,0.25,0.1,0.2,0.55,0.95,1.7,0.471,0.0,0.692,Greg,Dreiling,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
9,77,3077,1987,26:01,5.221,12.0,0.0,0.026,2.234,2.922,1.701,4.649,6.351,1.468,0.649,1.377,2.13,2.532,12.675,0.435,0.0,0.764,Joe,"Barry,Carroll",,,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
10,81,542,1987,31:08,2.617,4.691,0.0,0.0,1.815,2.333,3.049,6.272,9.321,0.815,0.494,1.284,1.395,2.16,7.049,0.558,0.0,0.778,James,Donaldson,,,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
11,55,2893,1987,9:19,1.182,2.491,0.0,0.0,0.727,1.291,1.345,1.273,2.618,0.418,0.236,0.345,0.564,1.582,3.091,0.474,0.0,0.563,Chris,Dudley,,,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
12,29,2793,1987,8:53,1.172,2.345,0.0,0.0,0.655,0.862,0.931,1.276,2.207,0.517,0.172,0.276,0.862,1.448,3.0,0.5,0.0,0.76,Winston,Crite,,,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
13,79,2860,1987,37:25,6.975,13.684,0.0,0.025,4.785,6.684,1.911,6.506,8.418,4.215,0.608,0.709,3.38,2.975,18.734,0.51,0.0,0.716,Brad,Daugherty,,,,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
14,55,2946,1987,32:51,6.218,13.091,0.0,0.0,2.382,3.509,2.436,5.455,7.891,1.309,1.055,0.527,2.236,2.6,14.818,0.475,0.0,0.679,Armen,Gilliam,,,,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
15,9,2856,1987,2:06,0.0,0.333,0.0,0.111,0.0,0.0,0.222,0.111,0.333,0.111,0.222,0.0,0.222,0.222,0.0,0.0,0.0,0.0,Kevin,Gamble,,,,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
16,16,2569,1987,25:52,3.375,7.188,0.0,0.125,1.5,2.0,0.25,0.938,1.188,5.75,0.625,0.063,2.938,0.625,8.25,0.47,0.0,0.75,Franklin,Edwards,,,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
17,69,581,1987,24:42,4.377,9.319,0.0,0.014,3.043,4.652,1.725,4.246,5.971,1.13,0.232,0.536,1.884,3.13,11.797,0.47,0.0,0.654,James,Edwards,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
18,80,2247,1987,28:51,6.0,11.288,0.0,0.013,2.563,3.363,1.475,4.5,5.975,1.688,0.6,1.15,1.988,2.7,14.563,0.532,0.0,0.762,Kareem,Abdul-Jabbar,,,,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
19,16,2512,1987,8:18,1.25,3.063,0.0,0.0,0.188,0.25,1.188,1.563,2.75,0.813,0.25,0.063,0.75,1.313,2.688,0.408,0.0,0.75,Michael,Brooks,,,,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
20,45,2980,1987,27:28,3.356,7.289,0.0,0.044,1.844,2.467,2.044,4.622,6.667,2.156,0.733,0.489,1.644,2.978,8.556,0.46,0.0,0.748,David,Greenwood,,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
21,75,2876,1987,19:44,2.773,5.533,0.4,0.987,1.213,1.44,0.24,1.12,1.36,4.04,0.68,0.24,1.213,1.987,7.16,0.501,0.405,0.843,Brad,Davis,,,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
22,30,3034,1987,5:14,0.867,2.3,0.0,0.2,0.3,0.333,0.3,0.3,0.6,0.533,0.1,0.033,0.733,0.6,2.033,0.377,0.0,0.9,Jim,Farmer,,,,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
23,79,594,1987,14:34,1.367,2.57,0.0,0.0,0.899,1.405,1.329,2.089,3.418,0.532,0.367,0.342,0.684,2.506,3.633,0.532,0.0,0.64,Mark,Acres,,,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
24,61,2248,1987,29:23,3.098,7.902,0.934,2.918,1.59,1.852,0.82,2.918,3.738,4.738,1.082,0.426,1.656,2.23,8.721,0.392,0.32,0.858,Michael,Cooper,,,,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
25,62,3054,1987,15:15,2.258,4.952,0.0,0.016,0.952,1.29,1.323,2.468,3.79,0.597,0.323,0.161,1.048,2.306,5.468,0.456,0.0,0.738,Pat,Cummings,,,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
26,72,2969,1987,36:56,5.0,10.639,0.0,0.014,4.528,6.583,5.153,7.875,13.028,1.528,1.264,0.806,2.222,2.694,14.528,0.47,0.0,0.688,Michael,Cage,,,,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
27,21,2576,1987,10:45,2.286,5.476,0.048,0.81,0.333,0.476,0.762,1.19,1.952,0.952,0.095,0.19,0.857,1.238,4.952,0.417,0.059,0.7,Charlie,Davis,,,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
28,44,2796,1987,8:16,1.0,2.477,0.0,0.159,0.386,0.477,0.114,0.455,0.568,1.977,0.364,0.023,0.955,0.75,2.386,0.404,0.0,0.81,Billy,Donovan,,,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
29,78,657,1987,20:28,3.103,7.244,0.0,0.013,1.923,2.654,1.218,3.013,4.231,1.423,0.679,0.295,1.397,3.423,8.128,0.428,0.0,0.725,Tellis,Frank,,,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
30,26,2704,1987,7:50,1.115,2.577,0.231,0.654,0.385,0.423,0.231,0.269,0.5,1.231,0.423,0.154,0.846,1.5,2.846,0.433,0.353,0.909,Rick,Carlisle,,,,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
31,82,2357,1987,20:04,3.061,6.171,0.012,0.024,1.317,1.561,1.439,3.012,4.451,2.232,1.0,0.5,1.707,2.988,7.451,0.496,0.5,0.844,Alvan,Adams,,,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
32,82,575,1987,33:52,5.073,11.305,1.695,4.622,2.024,2.427,0.488,2.232,2.72,6.134,2.049,0.195,1.756,1.683,13.866,0.449,0.367,0.834,Michael,Adams,,,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
