,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
0,76,971,2005,38:51,8.24,15.67,0.11,0.39,5.21,6.43,2.82,9.89,12.71,4.05,1.37,1.41,2.37,2.71,21.79,0.526,0.267,0.81,Kevin,Garnett,,,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
1,6,1526,2005,3:02,0.33,1.17,0.0,0.33,0.33,0.5,0.5,0.17,0.67,0.17,0.33,0.0,0.17,0.5,1.0,0.286,0.0,0.667,Josh,Davis,,,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
2,71,1219,2005,21:44,2.39,5.99,0.7,2.25,0.82,1.21,1.15,2.7,3.86,0.96,0.93,0.48,0.76,2.24,6.31,0.4,0.312,0.674,Devean,George,,,,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
3,41,1336,2005,3:14,0.24,1.1,0.17,0.56,0.44,0.56,0.0,0.37,0.37,0.29,0.27,0.02,0.22,0.32,1.1,0.222,0.304,0.783,Eddie,Gill,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
4,28,700,2005,6:27,0.32,0.86,0.0,0.04,0.29,0.54,0.75,1.14,1.89,0.21,0.0,0.32,0.14,0.82,0.93,0.375,0.0,0.533,Dale,Davis,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
5,79,94,2005,26:51,2.03,3.58,0.0,0.01,1.23,2.44,3.35,5.68,9.04,1.03,0.52,1.32,1.56,3.77,5.28,0.565,0.0,0.503,Tyson,Chandler,C,7.0,1.0,240.0,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
6,72,1376,2005,25:49,4.67,8.29,0.0,0.0,4.26,6.75,2.01,3.99,6.0,0.26,0.39,0.78,2.49,3.32,13.6,0.563,0.0,0.632,Eddy,Curry,,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
7,31,186,2005,12:28,2.13,4.45,0.19,0.65,0.94,1.19,0.32,1.0,1.32,0.58,0.42,0.13,0.71,1.32,5.39,0.478,0.3,0.784,Gerald,Green,G-F,6.0,7.0,205.0,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
8,79,1086,2005,28:52,2.91,6.96,0.29,1.28,3.59,4.25,0.24,1.94,2.18,3.59,0.66,0.1,1.13,1.22,9.71,0.418,0.228,0.845,Antonio,Daniels,G,,,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
9,2,1594,2005,2:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deng,Gai,,,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
10,80,1562,2005,31:00,6.08,14.4,2.08,4.78,2.64,3.35,0.54,2.2,2.74,3.0,0.94,0.06,2.25,2.98,16.86,0.422,0.435,0.787,Ben,Gordon,G,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
11,78,1155,2005,41:07,7.49,16.72,0.94,3.1,3.53,4.42,0.83,3.67,4.5,5.05,1.17,0.22,2.73,2.44,19.44,0.448,0.302,0.797,Ricky,Davis,,,,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
12,10,1474,2005,15:23,2.8,6.6,1.0,1.9,0.4,0.5,0.1,1.4,1.5,0.5,0.2,0.0,1.2,1.3,7.0,0.424,0.526,0.8,Willie,Green,,,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
13,78,1504,2005,16:21,2.46,6.1,0.92,2.37,1.77,2.15,0.44,1.58,2.01,0.45,0.6,0.14,0.62,1.54,7.62,0.403,0.389,0.821,Matt,Carroll,,,,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
14,76,1419,2005,25:15,4.7,10.8,0.86,2.24,2.05,2.55,0.39,1.93,2.33,1.96,0.76,0.08,1.49,2.07,12.3,0.435,0.382,0.804,Juan,Dixon,,,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
