,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
0,58,46408533,1974,11:28,2.448,5.724,0,0,0.741,0.966,0.069,0.259,1.017,0.776,0.069,0.017,0,0.81,5.638,0.428,0,0.768,Rod,Derline,,,,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1,57,2290,1974,28:49,7.0,15.86,0,0,4.737,6.596,1.877,2.123,10.368,1.737,0.877,0.193,0,3.281,18.737,0.441,0,0.718,John,Drew,,,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
2,35,46405958,1974,10:00,1.486,3.771,0,0,0.743,1.286,0.286,0.314,2.343,0.4,0.086,0.086,0,1.486,3.714,0.394,0,0.578,Ken,Durrett,,,,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
3,25,46408549,1974,6:16,1.24,2.88,0,0,0.28,0.36,0.0,0.04,1.6,0.24,0.08,0.0,0,1.32,2.76,0.431,0,0.778,Ben,Clyde,,,,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
4,78,2269,1974,38:09,8.718,18.333,0,0,2.679,3.295,0.308,0.872,6.974,3.038,1.397,0.577,0,4.09,20.115,0.476,0,0.813,Bob,Dandridge,,,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
5,11,46405417,1974,4:43,0.273,1.182,0,0,0.091,0.182,0.0,0.0,1.455,0.273,0.091,0.0,0,0.636,0.636,0.231,0,0.5,Terry,Driscoll,,,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
6,71,46408507,1974,22:31,3.254,7.042,0,0,1.775,2.577,0.07,0.437,1.972,3.014,0.352,0.197,0,2.479,8.282,0.462,0,0.689,Gary,Brokaw,,,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
7,46,46408542,1974,8:36,1.609,3.413,0,0,0.478,0.87,0.022,0.087,0.826,0.652,0.022,0.0,0,0.957,3.696,0.471,0,0.55,Jesse,Dark,,,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
8,67,46406977,1974,11:17,1.522,3.239,0,0,1.045,1.448,0.91,1.254,2.164,1.537,0.597,0.03,0,1.567,4.09,0.47,0,0.722,Charles,Dudley,,,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
9,50,46403298,1974,17:32,3.04,6.34,0,0,2.1,2.66,0.22,0.56,4.28,0.86,0.24,0.14,0,2.2,8.18,0.479,0,0.789,John,Block,,,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
