,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
0,81,971,2000,39:33,8.69,18.21,0.23,0.81,4.41,5.77,2.7,8.67,11.37,4.95,1.37,1.79,2.84,2.52,22.02,0.477,0.288,0.764,Kevin,Garnett,,,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
1,67,995,2000,13:27,1.6,2.88,0.0,0.0,0.7,1.22,1.36,2.16,3.52,0.48,0.61,0.49,0.76,2.96,3.9,0.554,0.0,0.573,Andrew,DeClercq,,,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
2,33,1217,2000,8:32,0.97,2.45,0.0,0.0,1.12,1.61,0.94,1.42,2.36,0.27,0.15,0.15,0.42,1.45,3.06,0.395,0.0,0.698,Obinna,Ekezie,,,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
3,56,1219,2000,10:32,1.14,3.68,0.27,1.21,0.7,0.98,0.63,1.34,1.96,0.34,0.27,0.27,0.61,1.55,3.25,0.311,0.221,0.709,Devean,George,,,,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
4,20,902,2000,9:32,1.25,2.35,0.05,0.1,0.6,0.95,1.05,0.8,1.85,0.15,0.35,0.45,0.8,2.25,3.15,0.532,0.5,0.632,Bill,Curley,,,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
5,8,1336,2000,19:05,2.0,5.13,0.38,1.13,0.5,0.63,0.0,1.13,1.13,3.0,0.5,0.13,1.25,1.13,4.88,0.39,0.333,0.8,Eddie,Gill,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
6,81,700,2000,26:41,2.99,6.01,0.0,0.05,1.19,1.88,2.88,4.6,7.48,1.27,0.54,0.94,0.83,2.46,7.16,0.497,0.0,0.632,Dale,Davis,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
7,71,2948,2000,13:29,2.28,5.38,0.87,2.04,0.61,0.72,0.23,0.97,1.2,1.06,0.38,0.11,0.55,0.93,6.04,0.424,0.428,0.843,Dell,Curry,,,,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
8,81,1194,2000,21:16,3.07,6.41,0.0,0.01,1.75,2.96,1.68,3.68,5.36,0.89,0.4,1.9,1.11,3.01,7.9,0.48,0.0,0.592,Keon,Clark,,,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
9,64,734,2000,14:23,1.66,3.66,0.02,0.2,0.64,0.69,0.19,1.09,1.28,1.97,0.41,0.05,0.53,1.22,3.97,0.453,0.077,0.932,Vinny,Del Negro,,,,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
10,31,2952,2000,28:40,3.45,10.42,0.13,0.45,2.1,2.9,1.03,3.19,4.23,2.81,1.52,0.23,1.55,2.06,9.13,0.331,0.286,0.722,Kendall,Gill,,,,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
11,79,1086,2000,26:05,3.48,7.44,0.94,2.32,1.53,1.97,0.33,1.73,2.06,3.85,0.77,0.18,1.38,1.52,9.43,0.468,0.404,0.776,Antonio,Daniels,G,,,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
12,52,2893,2000,11:42,0.56,1.4,0.0,0.0,0.23,0.65,1.23,2.29,3.52,0.35,0.27,0.56,0.5,2.13,1.35,0.397,0.0,0.353,Chris,Dudley,,,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
13,7,1155,2000,10:10,1.71,4.14,0.14,0.14,1.0,1.14,0.14,0.86,1.0,1.57,0.71,0.29,0.71,1.0,4.57,0.414,1.0,0.875,Ricky,Davis,,,,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
14,58,1103,2000,25:10,2.69,6.47,0.0,0.0,0.52,1.17,2.69,4.29,6.98,0.83,0.53,2.69,1.36,2.34,5.9,0.416,0.0,0.441,Adonal,Foyle,,,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
15,70,1029,2000,11:54,1.07,2.23,0.0,0.0,0.39,0.56,0.93,2.17,3.1,0.34,0.37,0.7,0.36,1.33,2.53,0.481,0.0,0.692,Dean,Garrett,,,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
