,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
0,62,2659,1986,11:47,1.629,3.258,0.0,0.0,0.548,1.048,0.597,1.419,2.016,1.226,0.403,0.113,0.919,1.597,3.806,0.5,0.0,0.523,Darren,Daye,,,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
1,78,3064,1986,25:17,3.115,6.538,0.0,0.026,1.051,1.949,2.718,3.077,5.795,1.564,0.423,0.731,1.026,2.41,7.282,0.476,0.0,0.539,Earl,Cureton,,,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
2,79,513,1986,30:52,4.671,9.481,0.114,0.278,2.329,3.114,0.633,1.481,2.114,4.456,1.051,0.051,2.165,2.456,11.785,0.493,0.409,0.748,Joe,Dumars,,,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
3,80,2986,1986,22:24,3.2,6.775,0.0,0.025,1.488,2.213,2.45,5.713,8.163,0.775,0.513,0.625,1.588,2.463,7.888,0.472,0.0,0.672,Sidney,Green,,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
4,60,2993,1986,26:07,4.917,11.383,0.2,1.2,2.317,2.767,0.433,1.283,1.717,5.433,1.0,0.033,2.5,1.783,12.35,0.432,0.167,0.837,Larry,Drew,,,,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
5,58,2925,1986,34:17,5.776,10.879,0.0,0.0,5.966,7.552,2.276,5.397,7.672,1.655,0.69,0.448,2.207,3.241,17.517,0.531,0.0,0.79,Bill,Cartwright,,,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
6,65,585,1986,13:27,2.0,4.2,0.0,0.015,1.415,2.062,1.169,2.262,3.431,0.446,0.323,0.323,1.2,2.954,5.415,0.476,0.0,0.687,Kevin,Duckworth,,,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
7,67,2948,1986,9:29,2.075,4.866,0.254,0.896,0.448,0.567,0.448,0.716,1.164,0.866,0.403,0.06,0.672,1.284,4.851,0.426,0.283,0.789,Dell,Curry,,,,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
8,24,2884,1986,5:20,0.667,1.542,0.0,0.0,0.417,0.5,0.5,1.292,1.792,0.292,0.083,0.083,0.292,1.75,1.75,0.432,0.0,0.833,Greg,Dreiling,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
9,81,3077,1986,33:34,8.519,18.037,0.0,0.0,4.198,5.333,2.136,5.136,7.272,2.642,1.136,1.519,2.79,3.148,21.235,0.472,0.0,0.787,Joe,"Barry,Carroll",,,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
10,82,542,1986,36:55,3.793,6.476,0.0,0.0,3.256,4.012,3.598,8.268,11.866,0.768,0.622,1.659,1.268,2.329,10.841,0.586,0.0,0.812,James,Donaldson,,,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
11,8,2759,1986,12:15,0.875,3.0,0.0,0.125,0.0,0.5,0.625,1.125,1.75,2.125,1.125,0.0,1.125,1.125,1.75,0.292,0.0,0.0,Bruce,Douglas,,,,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
12,5,2735,1986,5:24,0.4,2.2,0.0,0.2,0.0,0.0,0.2,0.8,1.0,0.8,0.4,0.0,0.2,0.2,0.8,0.182,0.0,0.0,Fred,Cofield,,,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
13,77,2953,1986,14:20,1.922,4.039,0.0,0.026,1.403,2.221,1.13,2.377,3.506,0.468,0.312,0.429,1.143,2.312,5.247,0.476,0.0,0.632,Kenny,Gattison,,,,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
14,80,2860,1986,33:41,6.088,11.313,0.0,0.0,3.488,5.013,1.9,6.188,8.088,3.8,0.613,0.788,3.1,3.1,15.663,0.538,0.0,0.696,Brad,Daugherty,,,,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
15,8,2569,1986,15:15,1.125,4.0,0.0,0.5,1.25,1.75,0.25,1.0,1.25,3.625,0.625,0.0,2.125,0.875,3.5,0.281,0.0,0.714,Franklin,Edwards,,,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
16,14,581,1986,21:42,4.071,7.857,0.0,0.0,3.857,5.0,1.429,2.857,4.286,1.357,0.429,0.5,1.071,3.0,12.0,0.518,0.0,0.771,James,Edwards,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
