,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
0,61,1847,2010,11:07,0.77,1.52,0.0,0.0,0.66,0.97,1.21,1.8,3.02,0.3,0.23,0.05,0.39,1.95,2.2,0.505,0.0,0.678,Jon,Brockman,,,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
1,73,1670,2010,24:36,3.49,8.92,1.49,4.16,1.12,1.37,0.33,2.04,2.37,5.04,0.85,0.08,1.9,1.75,9.6,0.392,0.359,0.82,Jordan,Farmar,,,,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
2,81,169,2010,31:54,4.49,8.53,0.04,0.09,2.72,3.63,1.9,5.12,7.02,2.47,0.91,1.68,1.8,3.27,11.74,0.527,0.429,0.748,Marc,Gasol,C,7.0,1.0,255.0,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
3,40,1857,2010,11:35,1.7,3.95,0.0,0.13,0.68,1.18,0.93,1.6,2.53,0.23,0.2,0.45,0.7,1.1,4.08,0.43,0.0,0.574,Earl,Clark,,,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
4,70,136,2010,17:39,2.74,6.3,0.8,2.21,1.19,1.9,0.51,1.51,2.03,2.91,0.71,0.14,1.67,1.79,7.47,0.435,0.361,0.624,Goran,Dragic,G,6.0,3.0,190.0,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
5,71,971,2010,31:14,6.11,11.58,0.01,0.07,2.63,3.06,1.17,7.72,8.89,2.41,1.34,0.8,1.62,2.08,14.87,0.528,0.2,0.862,Kevin,Garnett,,,,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
6,4,1918,2010,4:30,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.25,0.25,0.25,1.0,0.667,0.0,0.0,Marcus,Cousin,,,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
7,81,1850,2010,24:19,3.88,9.32,1.77,4.73,1.05,1.32,0.8,2.21,3.01,3.01,1.1,0.05,1.1,2.19,10.57,0.416,0.373,0.794,Toney,Douglas,,,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
8,81,107,2010,28:29,5.33,12.4,0.04,0.22,3.41,4.96,2.68,5.95,8.63,2.52,1.05,0.84,3.31,4.1,14.11,0.43,0.167,0.687,DeMarcus,Cousins,C,6.0,11.0,270.0,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
9,62,167,2010,33:56,4.27,10.32,1.66,4.73,5.44,6.31,0.95,3.97,4.92,1.68,0.82,0.44,1.34,2.32,15.65,0.414,0.352,0.862,Danilo,Gallinari,F,6.0,10.0,225.0,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
10,12,84,2010,4:10,0.33,1.0,0.0,0.0,0.17,0.17,0.17,0.5,0.67,0.33,0.08,0.08,0.0,0.42,0.83,0.333,0.0,1.0,DeMarre,Carroll,F,6.0,8.0,215.0,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
11,74,94,2010,27:47,3.59,5.5,0.0,0.0,2.92,3.99,2.78,6.57,9.35,0.43,0.49,1.08,1.19,3.24,10.11,0.654,0.0,0.732,Tyson,Chandler,C,7.0,1.0,240.0,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
12,72,95,2010,33:19,5.96,13.24,1.56,4.44,1.81,2.24,1.04,4.63,5.67,1.67,0.67,1.31,1.44,2.76,15.28,0.45,0.35,0.807,Wilson,Chandler,F,6.0,9.0,225.0,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
13,4,1086,2010,9:15,0.5,1.25,0.0,0.5,0.5,0.5,0.0,1.25,1.25,0.5,0.0,0.0,0.25,0.0,1.5,0.4,0.0,1.0,Antonio,Daniels,G,,,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
14,82,1562,2010,25:58,4.13,9.39,1.3,3.24,1.66,1.95,0.5,1.88,2.38,2.09,0.59,0.2,1.72,2.17,11.23,0.44,0.402,0.85,Ben,Gordon,G,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
15,77,1474,2010,21:45,3.51,7.91,0.7,2.01,1.01,1.3,0.29,1.81,2.09,0.96,0.47,0.17,0.87,1.86,8.73,0.443,0.348,0.78,Willie,Green,,,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
