,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
0,48,2673,1985,14:40,1.771,4.542,0.188,0.667,0.479,0.667,0.188,1.021,1.208,2.521,0.458,0.021,1.188,1.604,4.208,0.39,0.281,0.719,Rod,Foster,,,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1,64,2659,1985,16:47,3.094,6.234,0.016,0.047,2.484,3.703,1.109,1.75,2.859,1.703,0.703,0.172,1.422,1.891,8.688,0.496,0.333,0.671,Darren,Daye,,,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
2,80,2631,1985,14:57,1.4,2.988,0.0,0.025,1.45,2.025,1.325,2.088,3.413,1.188,0.5,0.275,1.163,2.175,4.25,0.469,0.0,0.716,Bill,Garnett,,,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
3,80,3064,1985,25:12,3.563,7.05,0.0,0.025,1.463,2.638,2.475,3.825,6.3,1.713,0.713,0.7,1.863,2.988,8.588,0.505,0.0,0.555,Earl,Cureton,,,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
4,82,513,1985,23:51,3.5,7.28,0.061,0.195,2.317,2.902,0.732,0.72,1.451,4.756,0.805,0.134,1.915,2.439,9.378,0.481,0.313,0.798,Joe,Dumars,,,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
5,80,2986,1985,28:50,5.088,10.938,0.0,0.1,3.275,4.188,2.6,5.625,8.225,1.738,0.875,0.463,2.763,3.65,13.45,0.465,0.0,0.782,Sidney,Green,,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
6,75,2993,1985,26:16,5.0,10.347,0.133,0.4,1.707,2.147,0.333,1.333,1.667,4.507,0.88,0.027,1.773,1.787,11.84,0.483,0.333,0.795,Larry,Drew,,,,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
7,2,2925,1985,18:00,1.5,3.5,0.0,0.0,3.0,5.0,1.0,4.0,5.0,2.5,0.5,0.5,3.0,3.0,6.0,0.429,0.0,0.6,Bill,Cartwright,,,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
8,36,2717,1985,7:35,1.361,2.444,0.0,0.0,0.667,1.0,0.361,0.722,1.083,0.222,0.056,0.167,0.472,1.028,3.389,0.557,0.0,0.667,Lorenzo,Charles,,,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
9,3,2723,1985,1:20,0.0,1.0,0.0,0.0,0.0,0.667,0.333,0.0,0.333,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,Ron,Crevier,,,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
10,79,3077,1985,35:15,8.228,17.772,0.0,0.025,4.772,6.342,2.443,6.038,8.481,2.228,1.253,1.823,3.481,3.506,21.228,0.463,0.0,0.752,Joe,"Barry,Carroll",,,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
11,83,542,1985,32:18,3.084,5.53,0.0,0.0,2.458,3.06,2.06,7.518,9.578,1.157,0.337,1.675,1.53,2.277,8.627,0.558,0.0,0.803,James,Donaldson,,,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
12,45,2735,1985,10:25,1.667,4.089,0.067,0.333,0.267,0.444,0.133,0.889,1.022,1.822,0.489,0.067,1.089,1.444,3.667,0.408,0.2,0.6,Fred,Cofield,,,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
13,33,2364,1985,8:09,0.788,2.121,0.121,0.424,0.424,0.545,0.061,0.636,0.697,1.182,0.394,0.0,0.515,1.303,2.121,0.371,0.286,0.778,Mike,Bratz,,,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
14,44,2312,1985,12:57,1.955,5.091,0.114,0.386,0.773,0.864,0.318,0.886,1.205,0.909,0.386,0.136,0.523,1.0,4.795,0.384,0.294,0.895,Ron,Brewer,,,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
15,73,2569,1985,20:25,3.589,7.904,0.014,0.123,1.808,2.068,0.329,0.849,1.178,3.548,1.219,0.068,1.877,1.192,9.0,0.454,0.111,0.874,Franklin,Edwards,,,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
16,52,581,1985,25:39,6.115,11.288,0.0,0.0,4.077,5.808,1.519,4.269,5.788,1.423,0.442,0.558,2.481,3.865,16.308,0.542,0.0,0.702,James,Edwards,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
17,79,2247,1985,33:16,9.557,16.937,0.0,0.025,4.253,5.557,1.684,4.38,6.063,3.544,0.848,1.646,2.57,3.139,23.367,0.564,0.0,0.765,Kareem,Abdul-Jabbar,,,,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
18,68,2980,1985,28:05,2.912,5.706,0.0,0.015,2.088,2.706,2.221,5.588,7.809,1.338,0.544,0.765,1.676,3.044,7.912,0.51,0.0,0.772,David,Greenwood,,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
19,9,2531,1985,7:26,0.778,2.667,0.0,0.111,0.667,0.778,0.222,0.222,0.444,0.444,0.111,0.0,0.778,1.556,2.222,0.292,0.0,0.857,Butch,Carter,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
20,82,2876,1985,24:02,3.256,6.122,0.39,1.085,2.415,2.78,0.317,1.463,1.78,5.695,0.695,0.183,1.305,2.122,9.317,0.532,0.36,0.868,Brad,Davis,,,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
21,82,2248,1985,27:40,3.341,7.39,0.768,1.988,1.793,2.073,0.537,2.427,2.963,5.683,1.085,0.524,1.841,2.902,9.244,0.452,0.387,0.865,Michael,Cooper,,,,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
