,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
0,10,2714,1984,14:18,0.4,1.3,0.0,0.0,0.3,0.8,0.8,1.8,2.6,1.0,0.5,0.4,0.3,3.9,1.1,0.308,0.0,0.375,Kent,Edelin,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
1,19,2290,1984,24:22,5.632,13.684,0.0,0.211,4.947,6.421,1.895,2.421,4.316,1.947,1.158,0.105,2.158,3.474,16.211,0.412,0.0,0.77,John,Drew,,,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
2,79,2673,1984,16:41,3.62,8.051,0.519,1.57,1.051,1.38,0.342,0.646,1.013,2.354,0.772,0.0,1.468,2.165,8.81,0.45,0.331,0.761,Rod,Foster,,,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
3,80,2659,1984,19:39,3.225,6.3,0.013,0.088,2.225,3.113,1.163,2.238,3.4,3.0,0.663,0.238,1.675,2.05,8.688,0.512,0.143,0.715,Darren,Daye,,,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
4,65,2631,1984,17:16,2.292,4.769,0.0,0.031,1.846,2.677,1.508,2.892,4.4,1.031,0.431,0.231,1.415,3.015,6.431,0.481,0.0,0.69,Bill,Garnett,,,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
5,81,3064,1984,20:16,2.593,5.321,0.0,0.037,0.988,1.753,2.086,3.049,5.173,1.025,0.691,0.519,1.407,2.667,6.173,0.487,0.0,0.563,Earl,Cureton,,,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
6,25,2382,1984,11:36,0.56,1.88,0.0,0.12,0.64,0.72,0.12,0.96,1.08,2.44,0.24,0.04,0.68,1.32,1.76,0.298,0.0,0.889,Phil,Ford,,,,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
7,48,2986,1984,15:25,2.25,5.208,0.0,0.083,1.646,2.042,1.5,3.625,5.125,0.604,0.25,0.229,1.417,2.125,6.146,0.432,0.0,0.806,Sidney,Green,,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
8,72,2993,1984,32:51,6.333,12.667,0.097,0.375,2.139,2.694,0.556,1.667,2.278,6.722,1.292,0.111,2.486,2.042,14.903,0.5,0.259,0.794,Larry,Drew,,,,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
9,82,542,1984,29:10,4.28,6.72,0.0,0.0,2.768,3.695,2.049,6.098,8.146,0.585,0.341,1.585,2.5,2.646,11.329,0.637,0.0,0.749,James,Donaldson,,,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
