,id,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,season,player_id
0,13932867,30,5,13,2,9,0,0,2,10,12,2,2,0,0,1,12,0.3846154,0.2222222,0.0,2023,375
1,13932868,35,7,11,1,2,0,0,2,5,7,5,2,1,0,0,15,0.6363636,0.5,0.0,2023,177
2,13932869,36,12,22,3,5,2,4,3,10,13,11,1,1,2,2,29,0.5454546,0.6,0.5,2023,246
3,13932870,36,8,12,2,3,2,2,1,1,2,1,3,1,3,5,20,0.6666667,0.6666667,1.0,2023,81
4,13932871,34,8,13,3,5,2,2,0,2,2,6,0,1,1,3,21,0.6153846,0.6,1.0,2023,335
5,13932872,19,2,5,0,1,1,2,1,2,3,2,0,1,1,1,5,0.4,0.0,0.5,2023,38017709
6,13932873,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,38017727
7,13932874,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,215
8,13932875,24,3,8,2,5,0,0,0,3,3,1,1,0,2,0,8,0.375,0.4,0.0,2023,236
9,13932876,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,250
10,13932877,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,17896007
11,13932878,12,1,3,0,1,2,2,0,0,0,1,0,0,1,2,4,0.3333333,0.0,1.0,2023,3547268
12,13932879,01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.0,0.0,2023,56677582
13,13932880,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,56677776
14,13932881,11,1,3,1,3,0,0,0,0,0,0,0,1,1,1,3,0.3333333,0.3333333,0.0,2023,38017721
15,13932882,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,666489
16,13932883,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,17896103
17,13932884,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,56677871
18,13932885,30,6,8,4,6,2,2,1,2,3,1,0,1,1,0,18,0.75,0.6666667,1.0,2023,383
19,13932886,29,10,16,1,4,0,1,1,7,8,5,1,0,0,1,21,0.625,0.25,0.0,2023,237
20,13932887,34,6,17,1,2,4,4,1,7,8,4,0,2,2,3,17,0.3529412,0.5,1.0,2023,117
21,13932888,31,4,11,1,2,5,7,4,4,8,4,2,0,2,2,14,0.3636364,0.5,0.7142857,2023,17553995
22,13932889,36,4,12,2,5,1,2,0,4,4,7,1,0,3,3,11,0.3333333,0.4,0.5,2023,405
23,13932890,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,38017697
24,13932891,15,3,10,0,3,0,0,2,1,3,0,0,0,0,2,6,0.3,0.0,0.0,2023,666609
25,13932892,07,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.0,0.0,0.0,2023,666626
26,13932893,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,56677836
27,13932894,18,2,4,1,2,2,2,2,2,4,0,0,1,0,2,7,0.5,0.5,1.0,2023,666860
28,13932895,22,3,8,0,4,0,0,1,0,1,2,1,0,2,3,6,0.375,0.0,0.0,2023,1603383
29,13932896,16,3,4,0,1,1,2,1,3,4,0,0,0,1,1,7,0.75,0.0,0.5,2023,486
30,13932897,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,56677738
31,13932898,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,56677867
32,13932899,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,56677868
33,13932900,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,56677835
34,13932901,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,457
35,13933427,36,6,18,3,11,0,0,1,6,7,3,0,1,3,3,15,0.3333333,0.2727273,0.0,2023,443
36,13933428,27,4,12,0,3,2,3,1,0,1,0,0,1,0,3,10,0.3333333,0.0,0.6666667,2023,475
37,13933429,28,3,6,0,0,1,1,5,6,11,1,0,0,2,2,7,0.5,0.0,1.0,2023,282
38,13933430,34,4,15,0,6,6,7,1,5,6,9,2,0,1,0,14,0.2666667,0.0,0.8571429,2023,367
39,13933431,31,8,20,4,14,7,7,1,4,5,1,1,0,2,5,27,0.4,0.2857143,1.0,2023,115
40,13933432,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,56677799
41,13933433,04,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,2023,251
42,13933434,20,4,8,0,0,4,6,3,3,6,1,2,1,2,5,12,0.5,0.0,0.6666667,2023,17553979
43,13933435,18,4,6,2,4,1,2,1,2,3,0,3,1,1,1,11,0.6666667,0.5,0.5,2023,17553992
44,13933436,22,0,5,0,2,1,2,0,2,2,2,3,0,0,1,1,0.0,0.0,0.5,2023,2189
45,13933437,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,56677858
46,13933438,20,3,11,1,3,0,0,4,3,7,1,0,2,0,3,7,0.2727273,0.3333333,0.0,2023,407
47,13933439,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,17896070
48,13933440,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,185
49,13933441,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,45658838
50,13933442,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,398
51,13933443,31,7,9,1,1,2,2,4,1,5,1,1,0,2,2,17,0.7777778,1.0,1.0,2023,356
52,13933444,37,7,22,1,2,3,5,2,8,10,3,0,1,2,1,18,0.3181818,0.5,0.6,2023,140
53,13933445,28,5,8,1,2,3,3,3,11,14,3,0,1,1,5,14,0.625,0.5,1.0,2023,349
54,13933446,21,0,6,0,5,0,0,3,1,4,2,0,0,1,2,0,0.0,0.0,0.0,2023,8
55,13933447,37,13,21,3,8,3,3,1,5,6,8,1,0,6,4,32,0.6190476,0.375,1.0,2023,57
56,13933448,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,3547095
57,13933449,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,32
58,13933450,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,666451
59,13933451,19,1,3,0,0,2,4,2,6,8,2,0,3,3,3,4,0.3333333,0.0,0.5,2023,147
60,13933452,14,1,4,0,1,0,0,1,3,4,3,1,0,2,0,2,0.25,0.0,0.0,2023,18678058
61,13933453,32,4,16,2,9,0,0,1,3,4,1,1,1,1,2,10,0.25,0.2222222,0.0,2023,178
62,13933454,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,3547298
63,13933455,03,1,1,1,1,0,0,0,1,1,0,1,0,0,1,3,1.0,1.0,0.0,2023,666729
64,13933456,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,314
65,13933457,18,3,5,2,4,0,0,0,4,4,0,0,1,1,2,8,0.6,0.5,0.0,2023,470
66,13933458,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,37
67,13933459,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,272
68,13934192,36,8,20,2,5,6,7,1,2,3,2,1,0,2,0,24,0.4,0.4,0.8571429,2023,666423
69,13934193,34,5,22,3,8,1,5,4,7,11,7,2,0,0,3,14,0.2272727,0.375,0.2,2023,387
70,13934194,22,1,4,0,0,0,2,3,3,6,1,2,0,1,4,2,0.25,0.0,0.0,2023,399
71,13934195,33,6,21,3,8,0,1,1,2,3,6,3,0,2,3,15,0.2857143,0.375,0.0,2023,73
72,13934196,23,4,7,3,6,0,1,0,1,1,0,0,0,0,2,11,0.5714286,0.5,0.0,2023,17895858
73,13934197,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,19
74,13934198,15,0,4,0,3,0,0,0,3,3,2,0,0,0,1,0,0.0,0.0,0.0,2023,131
75,13934199,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,160
76,13934200,23,2,4,2,4,1,2,1,5,6,0,0,0,1,1,7,0.5,0.5,0.5,2023,202
77,13934201,26,3,4,0,0,1,2,5,3,8,2,0,0,1,5,7,0.75,0.0,0.5,2023,201
78,13934202,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,666675
79,13934203,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,17896033
80,13934204,28,7,11,5,7,5,6,2,4,6,4,1,0,2,3,24,0.6363636,0.7142857,0.8333333,2023,3547269
81,13934205,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,17896063
82,13934206,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,666971
83,13934207,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,666474
84,13934208,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,56677795
85,13934209,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2023,17896089
86,13934210,38,4,11,0,4,3,4,0,6,6,5,1,0,2,5,11,0.3636364,0.0,0.75,2023,70
87,13934211,38,13,22,3,8,5,6,0,11,11,4,2,1,4,3,34,0.5909091,0.375,0.8333333,2023,434
