,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
0,13,46405958,1971,11:32,1.462,3.692,0,0,1.308,1.692,0,0,2.154,0.538,0,0,0,2.154,4.231,0.396,0,0.773,Ken,Durrett,,,,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
1,26,46405407,1971,7:00,1.269,2.538,0,0,1.0,1.269,0,0,0.423,1.0,0,0,0,0.769,3.538,0.5,0,0.788,Jake,Ford,,,,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
2,41,46404878,1971,16:45,3.61,7.854,0,0,2.024,2.634,0,0,1.854,1.317,0,0,0,2.098,9.244,0.46,0,0.769,Mike,Davis,,,,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
3,66,2269,1971,36:30,7.894,15.879,0,0,2.545,3.53,0,0,7.758,2.985,0,0,0,3.682,18.333,0.497,0,0.721,Bob,Dandridge,,,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
4,37,46405417,1971,8:03,1.0,2.568,0,0,0.73,1.054,0,0,2.919,0.595,0,0,0,1.324,2.73,0.389,0,0.692,Terry,Driscoll,,,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
5,63,46403298,1971,18:42,2.762,6.333,0,0,2.333,3.127,0,0,5.206,1.032,0,0,0,2.81,7.857,0.436,0,0.746,John,Block,,,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
6,76,46404879,1971,28:11,4.171,9.158,0,0,1.671,2.0,0,0,4.053,4.592,0,0,0,2.776,10.013,0.455,0,0.836,Herm,Gilliam,,,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
7,67,2247,1971,44:19,14.358,25.075,0,0,6.119,8.881,0,0,16.567,4.388,0,0,0,2.776,34.836,0.573,0,0.689,Kareem,Abdul-Jabbar,,,,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
8,50,46405441,1971,8:51,1.16,2.48,0,0,0.78,1.12,0,0,3.08,0.52,0,0,0,1.22,3.1,0.468,0,0.696,Bob,Christian,,,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
9,46,46404330,1971,26:24,4.522,10.391,0,0,1.739,1.935,0,0,3.065,2.413,0,0,0,2.761,10.783,0.435,0,0.899,Eldo,Garrett,,,,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
10,68,2255,1971,28:37,4.676,9.779,0,0,2.324,3.015,0,0,4.809,2.676,0,0,0,3.735,11.676,0.478,0,0.771,Don,Chaney,,,,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
11,73,46397630,1971,29:09,4.589,10.315,0,0,2.26,2.932,0,0,3.315,3.973,0,0,0,3.438,11.438,0.445,0,0.771,Hal,Greer,,,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
12,73,46404379,1971,28:03,5.603,12.863,0,0,2.164,3.616,0,0,4.192,2.603,0,0,0,3.096,13.37,0.436,0,0.598,Fred,Carter,,,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
13,68,2254,1971,40:30,8.382,17.515,0,0,2.059,2.897,0,0,15.353,3.074,0,0,0,4.015,18.824,0.479,0,0.711,Dave,Cowens,,,,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
14,71,46403281,1971,42:55,9.324,19.859,0,0,6.718,8.761,0,0,3.437,8.07,0,0,0,2.592,25.366,0.47,0,0.767,Archie,Clark,,,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
15,56,46398149,1971,23:05,4.089,7.107,0,0,1.589,2.821,0,0,6.875,1.5,0,0,0,2.946,9.768,0.575,0,0.563,Johnny,Green,,,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
16,33,2430,1971,10:49,1.788,5.455,0,0,0.667,0.879,0,0,1.121,1.818,0,0,0,1.303,4.242,0.328,0,0.759,Fred,Brown,,,,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
17,80,46404346,1971,30:33,4.113,9.413,0,0,1.888,2.525,0,0,2.863,5.163,0,0,0,2.613,10.113,0.437,0,0.748,Rick,Adelman,,,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
18,58,46404345,1971,30:39,5.552,12.983,0,0,2.655,3.69,0,0,11.293,2.138,0,0,0,3.052,13.759,0.428,0,0.72,Zaid,Abdul-Aziz,,,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
