,player_id,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,season,fg_pct,fg3_pct,ft_pct,games_played
0,3,13.964912280701755,1.5964912280701755,2.9298245614035086,0.0,0.03508771929824561,0.7543859649122807,1.631578947368421,2.912280701754386,2.824561403508772,5.7368421052631575,1.1578947368421053,0.38596491228070173,0.49122807017543857,0.9473684210526315,1.0526315789473684,3.9473684210526314,2024,0.5449101796407185,0.0,0.46236559139784944,57
1,4,34.475,6.925,14.2875,1.0,2.85,3.1625,4.1625,2.3875,7.2625,9.65,4.3125,1.275,0.725,2.025,2.0375,18.0125,2024,0.4846894138232721,0.3508771929824561,0.7597597597597597,80
2,8,24.171875,3.421875,7.640625,2.328125,5.46875,1.453125,1.78125,0.53125,2.5,3.03125,2.140625,0.875,0.28125,1.171875,1.484375,10.625,2024,0.44785276073619634,0.4257142857142857,0.8157894736842105,64
3,9,27.951219512195124,5.512195121951219,7.804878048780488,0.0,0.06097560975609756,2.426829268292683,3.3780487804878048,2.6341463414634148,7.097560975609756,9.731707317073171,1.9268292682926829,0.9390243902439024,0.8902439024390244,1.1829268292682926,1.548780487804878,13.451219512195122,2024,0.70625,0.0,0.7184115523465704,82
4,12,16.46031746031746,2.2857142857142856,4.888888888888889,0.4126984126984127,1.126984126984127,0.7619047619047619,1.0634920634920635,0.8412698412698413,2.4761904761904763,3.3174603174603177,2.4126984126984126,0.6507936507936508,0.5714285714285714,0.6031746031746031,1.3333333333333333,5.746031746031746,2024,0.4675324675324675,0.36619718309859156,0.7164179104477612,63
5,15,34.14705882352941,11.808823529411764,19.676470588235293,0.20588235294117646,0.9264705882352942,6.5,10.558823529411764,2.2205882352941178,9.794117647058824,12.014705882352942,6.514705882352941,0.8823529411764706,1.1911764705882353,3.088235294117647,2.323529411764706,30.323529411764707,2024,0.6001494768310912,0.2222222222222222,0.6155988857938719,68
6,18,36.58108108108108,6.608108108108108,13.878378378378379,2.310810810810811,6.216216216216216,2.472972972972973,3.0675675675675675,1.3108108108108107,3.527027027027027,4.837837837837838,2.2162162162162162,1.472972972972973,0.8648648648648649,1.3783783783783783,2.324324324324324,18.0,2024,0.4761441090555015,0.3717391304347826,0.8061674008810573,74
7,22,30.2,6.625,11.7,0.15,0.8,1.0,1.5,3.1,7.05,10.15,1.65,0.775,0.975,1.725,2.2,14.4,2024,0.5662393162393162,0.1875,0.6666666666666666,40
8,24,8.84375,1.8125,3.53125,0.09375,0.625,0.71875,1.09375,1.28125,1.5,2.78125,0.34375,0.25,0.28125,0.4375,0.65625,4.4375,2024,0.5132743362831859,0.15,0.6571428571428571,32
9,27,22.17142857142857,2.5428571428571427,6.942857142857143,1.9142857142857144,5.571428571428571,0.6285714285714286,0.7714285714285715,0.7142857142857143,2.657142857142857,3.3714285714285714,3.2857142857142856,1.3428571428571427,0.4857142857142857,1.1714285714285715,1.5714285714285714,7.628571428571429,2024,0.3662551440329218,0.3435897435897436,0.8148148148148148,35
10,28,12.96875,1.625,3.5,0.46875,1.6875,0.59375,0.84375,1.0,3.53125,4.53125,0.5625,0.25,0.96875,0.625,1.75,4.3125,2024,0.4642857142857143,0.2777777777777778,0.7037037037037037,32
11,30,27.158536585365855,4.2317073170731705,8.329268292682928,1.9024390243902438,4.390243902439025,1.9634146341463414,2.426829268292683,1.1829268292682926,2.597560975609756,3.7804878048780486,1.6585365853658536,0.4878048780487805,0.17073170731707318,0.6097560975609756,0.9146341463414634,12.329268292682928,2024,0.5080527086383602,0.43333333333333335,0.8090452261306532,82
12,33,17.46153846153846,1.3333333333333333,3.051282051282051,1.1282051282051282,2.6025641025641026,0.21794871794871795,0.2692307692307692,0.6025641025641025,2.1923076923076925,2.7948717948717947,1.0769230769230769,0.6666666666666666,0.46153846153846156,0.4358974358974359,1.4230769230769231,4.012820512820513,2024,0.4369747899159664,0.43349753694581283,0.8095238095238095,78
13,37,32.094339622641506,6.509433962264151,13.09433962264151,1.9245283018867925,4.981132075471698,2.0754716981132075,2.5849056603773586,0.6415094339622641,2.69811320754717,3.339622641509434,3.6792452830188678,1.0943396226415094,0.5283018867924528,1.8679245283018868,2.5660377358490565,17.0188679245283,2024,0.49711815561959655,0.38636363636363635,0.8029197080291971,53
14,38,27.817073170731707,5.621951219512195,13.060975609756097,3.8902439024390243,9.341463414634147,1.1585365853658536,1.7073170731707317,0.573170731707317,2.048780487804878,2.6219512195121952,1.6951219512195121,0.9024390243902439,0.06097560975609756,1.0121951219512195,1.524390243902439,16.29268292682927,2024,0.4304388422035481,0.4164490861618799,0.6785714285714286,82
15,48,18.785714285714285,2.392857142857143,4.071428571428571,0.0,0.0,0.35714285714285715,0.8928571428571429,1.5357142857142858,4.107142857142857,5.642857142857143,1.1071428571428572,0.5714285714285714,0.8214285714285714,0.9285714285714286,1.8571428571428572,5.142857142857143,2024,0.5877192982456141,,0.4,28
16,53,24.944444444444443,3.888888888888889,9.11111111111111,1.9444444444444444,5.351851851851852,1.0740740740740742,1.2222222222222223,0.4444444444444444,2.5,2.9444444444444446,2.7037037037037037,0.7592592592592593,0.18518518518518517,1.3703703703703705,2.3518518518518516,10.796296296296296,2024,0.4268292682926829,0.3633217993079585,0.8787878787878788,54
17,57,37.25333333333333,8.72,18.933333333333334,2.44,7.346666666666667,5.76,6.44,1.0133333333333334,3.0533333333333332,4.066666666666666,7.053333333333334,0.8933333333333333,0.21333333333333335,2.933333333333333,2.64,25.64,2024,0.46056338028169014,0.33212341197822143,0.8944099378881988,75
