,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
0,78,2290,1979,28:43,6.628,14.218,0.0,0.09,6.154,8.115,0.526,0.577,5.846,1.269,0.513,0.205,2.192,3.846,19.41,0.466,0.0,0.758,John,Drew,,,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1,81,2382,1979,32:00,6.0,12.963,0.049,0.198,4.272,5.222,0.111,0.494,2.111,7.407,1.481,0.062,2.321,2.568,16.321,0.463,0.25,0.818,Phil,Ford,,,,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
2,32,2459,1979,6:03,0.781,1.563,0.0,0.0,0.406,0.469,0.281,0.563,0.844,0.406,0.156,0.031,0.688,0.938,1.969,0.5,0.0,0.867,Marty,Byrnes,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
3,81,2925,1979,38:22,8.136,14.827,0.0,0.0,5.519,6.877,0.457,1.358,8.852,2.062,0.296,0.568,0.679,3.296,21.79,0.549,0.0,0.803,Bill,Cartwright,,,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
4,10,2448,1979,13:24,1.5,3.7,0.0,0.2,0.6,0.8,0.2,0.3,1.3,0.3,0.4,0.1,0.5,1.8,3.6,0.405,0.0,0.75,Bob,Carrington,,,,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
5,45,2269,1979,32:22,7.311,16.222,0.044,0.133,2.733,3.378,0.378,1.222,5.467,3.978,0.356,0.467,0.867,2.489,17.4,0.451,0.333,0.809,Bob,Dandridge,,,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
6,79,2286,1979,22:18,3.076,7.139,0.013,0.177,2.152,2.658,0.051,0.38,1.443,2.949,0.468,0.013,1.101,1.62,8.316,0.431,0.071,0.81,Charlie,Criss,,,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
7,35,2462,1979,10:32,1.714,3.8,0.2,0.429,0.657,1.171,0.114,0.257,2.057,1.029,0.143,0.029,0.229,1.686,4.286,0.451,0.467,0.561,Earl,Evans,,,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
8,82,2364,1979,19:22,3.268,8.378,0.256,1.024,1.72,1.976,0.159,0.476,2.037,2.72,1.122,0.098,1.646,2.012,8.512,0.39,0.25,0.87,Mike,Bratz,,,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
9,65,2331,1979,19:56,4.308,9.077,0.231,0.708,0.662,0.985,0.077,0.169,1.446,1.769,0.415,0.031,0.385,1.462,9.508,0.475,0.326,0.672,Terry,Duerod,,,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
