,player_id,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,games_played,season
0,4,33.917808219178085,7.397260273972603,14.178082191780822,0.2191780821917808,0.6301369863013698,4.027397260273973,5.3561643835616435,2.232876712328767,8.082191780821917,10.315068493150685,3.8767123287671232,1.1095890410958904,0.9726027397260274,2.2465753424657535,2.219178082191781,19.041095890410958,0.5217391304347826,0.34782608695652173,0.7519181585677749,73,2023
1,8,33.45333333333333,4.533333333333333,9.093333333333334,2.7333333333333334,5.933333333333334,1.72,1.96,0.6266666666666667,3.2933333333333334,3.92,3.026666666666667,0.92,0.5866666666666667,1.2666666666666666,2.0933333333333333,13.52,0.49853372434017595,0.4606741573033708,0.8775510204081632,75,2023
2,9,31.558441558441558,6.740259740259741,10.636363636363637,0.0,0.07792207792207792,3.0259740259740258,4.077922077922078,3.155844155844156,7.3896103896103895,10.545454545454545,2.7012987012987013,0.6883116883116883,1.051948051948052,1.5714285714285714,1.9090909090909092,16.506493506493506,0.6336996336996337,0.0,0.7420382165605095,77,2023
3,12,22.50632911392405,2.518987341772152,5.481012658227848,0.13924050632911392,0.6075949367088608,1.2278481012658229,1.7341772151898733,0.759493670886076,2.6962025316455698,3.4556962025316458,4.189873417721519,0.8734177215189873,0.5949367088607594,1.1265822784810127,1.620253164556962,6.405063291139241,0.45958429561200925,0.22916666666666666,0.708029197080292,79,2023
4,15,35.205479452054796,11.465753424657533,18.767123287671232,0.4657534246575342,1.6986301369863013,7.041095890410959,10.712328767123287,2.684931506849315,8.808219178082192,11.493150684931507,6.52054794520548,1.1643835616438356,1.082191780821918,3.3972602739726026,2.8767123287671232,30.438356164383563,0.6109489051094891,0.27419354838709675,0.6572890025575447,73,2023
5,18,34.04,5.64,11.54,2.04,5.34,1.34,1.78,0.94,3.24,4.18,2.14,1.32,0.72,1.62,2.38,14.66,0.48873483535528595,0.38202247191011235,0.7528089887640449,50,2023
6,19,2.2,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.4,0.4,0.2,0.1,0.0,0.1,0.25,0.0,0.0,0.0,,20,2023
7,22,32.36363636363637,7.763636363636364,13.618181818181819,0.01818181818181818,0.18181818181818182,1.1818181818181819,1.4363636363636363,3.2,7.872727272727273,11.072727272727272,1.6363636363636365,1.018181818181818,0.7636363636363637,1.8,1.981818181818182,16.727272727272727,0.5700934579439252,0.1,0.8227848101265823,55,2023
8,24,21.0,4.78,8.16,0.18,0.46,1.92,2.52,2.62,3.6,6.22,1.1,0.38,0.66,1.18,1.62,11.66,0.5857843137254902,0.391304347826087,0.7619047619047619,50,2023
9,28,12.947368421052632,1.7017543859649122,3.473684210526316,0.43859649122807015,1.1228070175438596,0.5964912280701754,0.8771929824561403,1.3508771929824561,2.824561403508772,4.175438596491228,0.7192982456140351,0.3684210526315789,1.0350877192982457,0.6842105263157895,1.7719298245614035,4.43859649122807,0.4898989898989899,0.390625,0.68,57,2023
10,30,29.154761904761905,4.261904761904762,9.011904761904763,1.8452380952380953,4.690476190476191,1.9404761904761905,2.4285714285714284,0.8333333333333334,2.238095238095238,3.0714285714285716,1.2619047619047619,0.6190476190476191,0.14285714285714285,0.6904761904761905,1.1904761904761905,12.30952380952381,0.47291941875825627,0.3934010152284264,0.7990196078431373,84,2023
11,32,12.584905660377359,1.3584905660377358,3.1320754716981134,0.39622641509433965,1.3018867924528301,0.6037735849056604,0.7924528301886793,0.5849056603773585,1.490566037735849,2.0754716981132075,0.7169811320754716,0.4528301886792453,0.39622641509433965,0.2830188679245283,0.660377358490566,3.7169811320754715,0.43373493975903615,0.30434782608695654,0.7619047619047619,53,2023
12,33,25.57377049180328,2.0163934426229506,4.39344262295082,1.2950819672131149,3.19672131147541,0.2459016393442623,0.3442622950819672,1.1967213114754098,2.9672131147540983,4.163934426229508,2.098360655737705,0.7868852459016393,0.6229508196721312,0.6721311475409836,1.819672131147541,5.573770491803279,0.458955223880597,0.40512820512820513,0.7142857142857143,61,2023
13,37,33.320754716981135,7.113207547169812,13.88679245283019,1.9056603773584906,4.433962264150943,2.056603773584906,2.5283018867924527,1.0188679245283019,3.358490566037736,4.377358490566038,5.0,1.0188679245283019,0.5283018867924528,2.4716981132075473,2.3962264150943398,18.18867924528302,0.5122282608695652,0.4297872340425532,0.8134328358208955,53,2023
14,38,29.569620253164558,4.050632911392405,9.139240506329115,2.8354430379746836,6.848101265822785,0.31645569620253167,0.4430379746835443,0.5189873417721519,3.1645569620253164,3.6835443037974684,1.3670886075949367,0.759493670886076,0.11392405063291139,0.6835443037974683,2.0,11.253164556962025,0.44321329639889195,0.41404805914972276,0.7142857142857143,79,2023
15,44,15.627906976744185,2.13953488372093,5.441860465116279,1.7674418604651163,4.651162790697675,0.6976744186046512,0.7674418604651163,0.20930232558139536,1.2093023255813953,1.4186046511627908,0.813953488372093,0.6046511627906976,0.2558139534883721,0.4186046511627907,1.302325581395349,6.744186046511628,0.39316239316239315,0.38,0.9090909090909091,43,2023
16,45,20.027397260273972,2.164383561643836,5.191780821917808,0.8356164383561644,2.4794520547945207,1.0136986301369864,1.2328767123287672,0.6712328767123288,2.6027397260273974,3.2739726027397262,2.904109589041096,0.589041095890411,0.4383561643835616,0.8904109589041096,1.7534246575342465,6.178082191780822,0.41688654353562005,0.3370165745856354,0.8222222222222222,73,2023
