,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
0,68,2290,1981,29:03,6.647,13.676,0.059,0.059,5.132,6.897,0.441,0.618,5.426,1.324,0.162,0.029,0.662,3.574,18.485,0.486,1.0,0.744,John,Drew,,,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1,63,2601,1981,16:18,2.619,5.778,0.143,0.492,0.968,1.333,0.413,0.444,1.905,2.476,0.429,0.206,1.286,1.952,6.349,0.453,0.29,0.726,Jim,Brogan,,,,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
2,66,3064,1981,14:29,2.258,4.652,0.0,0.03,0.773,1.424,0.288,0.394,4.091,0.485,0.152,0.409,0.212,2.152,5.288,0.485,0.0,0.543,Earl,Cureton,,,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
3,72,2382,1981,27:06,3.958,9.014,0.097,0.278,1.889,2.306,0.056,0.361,1.458,6.264,0.861,0.014,1.486,2.222,9.903,0.439,0.35,0.819,Phil,Ford,,,,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
4,10,2611,1981,17:36,2.1,5.2,0.0,0.0,1.1,1.2,0.0,0.0,3.3,0.6,0.0,0.4,0.0,1.7,5.3,0.404,0.0,0.917,Brad,Branson,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
5,32,2596,1981,3:15,0.531,1.156,0.063,0.125,0.219,0.281,0.094,0.281,0.375,0.469,0.063,0.0,0.219,0.594,1.344,0.459,0.5,0.778,Craig,Dykema,,,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
6,81,2993,1981,24:21,4.42,9.346,0.099,0.222,1.852,2.333,0.123,0.444,1.84,5.173,1.111,0.012,0.975,1.852,10.79,0.473,0.444,0.794,Larry,Drew,,,,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
7,72,2925,1981,28:35,5.417,9.639,0.0,0.0,3.569,4.681,0.264,0.722,5.847,1.208,0.153,0.5,0.625,2.889,14.403,0.562,0.0,0.763,Bill,Cartwright,,,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
8,11,2269,1981,15:49,1.909,5.0,0.0,0.0,0.909,1.545,0.0,0.0,1.545,1.182,0.364,0.182,1.0,2.273,4.727,0.382,0.0,0.588,Bob,Dandridge,,,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
9,76,3077,1981,34:33,6.934,13.368,0.0,0.013,3.092,4.25,2.658,5.342,8.329,0.842,0.803,1.671,2.697,3.487,16.961,0.519,0.0,0.728,Joe,"Barry,Carroll",,,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
10,82,542,1981,20:54,3.11,5.122,0.0,0.0,1.841,2.927,1.634,4.183,5.976,0.622,0.232,1.354,1.341,2.268,8.061,0.607,0.0,0.629,James,Donaldson,,,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
11,55,2286,1981,25:18,4.036,9.018,0.182,0.364,2.564,2.891,0.018,0.236,1.491,3.436,0.182,0.073,1.055,1.727,10.818,0.448,0.5,0.887,Charlie,Criss,,,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
12,7,2547,1981,9:34,1.429,3.571,0.0,0.0,0.429,0.857,0.0,0.143,1.857,0.571,0.0,0.0,0.571,1.143,3.286,0.4,0.0,0.5,Ron,Davis,,,,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
13,47,2513,1981,16:10,1.979,4.638,0.064,0.128,0.277,0.426,0.213,0.511,1.596,1.447,0.255,0.021,0.383,1.745,4.298,0.427,0.5,0.65,Calvin,Garrett,,,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
