,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
0,9,2830,1989,10:06,1.0,3.0,0.0,0.111,0.444,0.889,0.778,0.889,1.667,0.333,0.667,0.222,0.778,1.111,2.444,0.333,0.0,0.5,Terry,Dozier,,,,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1,75,513,1989,34:22,6.773,14.107,0.293,0.733,3.96,4.4,0.8,2.027,2.827,4.907,0.84,0.027,1.933,1.72,17.8,0.48,0.4,0.9,Joe,Dumars,,,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
2,73,2986,1989,25:28,4.274,9.137,0.014,0.041,1.863,2.863,2.274,5.781,8.055,1.356,0.685,0.356,1.63,3.164,10.425,0.468,0.333,0.651,Sidney,Green,,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
3,80,2993,1989,16:39,2.125,4.788,0.4,1.013,0.575,0.75,0.15,1.075,1.225,2.713,0.588,0.05,1.188,1.15,5.225,0.444,0.395,0.767,Larry,Drew,,,,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
4,71,2925,1989,30:25,4.113,8.423,0.0,0.0,3.197,3.944,1.93,4.62,6.549,2.042,0.535,0.479,1.732,3.423,11.423,0.488,0.0,0.811,Bill,Cartwright,,,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
5,82,585,1989,30:01,6.683,13.976,0.0,0.0,2.817,3.805,2.244,3.963,6.207,1.11,0.439,0.415,2.085,3.305,16.183,0.478,0.0,0.74,Kevin,Duckworth,,,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
6,67,2948,1989,27:45,6.881,14.776,0.776,2.194,1.433,1.552,0.463,2.045,2.507,2.373,1.463,0.388,1.493,2.209,15.97,0.466,0.354,0.923,Dell,Curry,,,,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
7,76,734,1989,24:28,3.908,8.461,0.132,0.421,1.776,2.039,0.513,2.092,2.605,3.289,0.842,0.132,1.461,2.395,9.724,0.462,0.313,0.871,Vinny,Del Negro,,,,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
8,82,536,1989,23:02,3.488,6.878,0.11,0.366,1.78,2.476,0.841,2.22,3.061,1.768,0.927,0.439,1.854,3.415,8.866,0.507,0.3,0.719,Blue,Edwards,,,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
9,49,2884,1989,6:15,0.408,1.082,0.0,0.0,0.51,0.694,0.429,1.347,1.776,0.163,0.082,0.286,0.388,1.408,1.327,0.377,0.0,0.735,Greg,Dreiling,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
10,10,777,1989,5:00,0.7,1.6,0.0,0.0,0.2,0.2,0.4,0.3,0.7,0.5,0.4,0.0,0.4,0.4,1.6,0.438,0.0,1.0,Stan,Kimbrough,,,,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
11,76,3077,1989,22:37,4.105,9.987,0.0,0.026,1.803,2.329,1.75,4.079,5.829,1.276,0.618,1.513,1.868,2.526,10.013,0.411,0.0,0.774,Joe,"Barry,Carroll",,,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
12,73,542,1989,31:01,3.534,6.562,0.0,0.0,2.041,2.918,2.123,6.507,8.63,0.781,0.301,0.644,1.63,1.767,9.11,0.539,0.0,0.7,James,Donaldson,,,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
13,64,2893,1989,21:09,2.281,5.547,0.0,0.0,0.906,2.844,2.719,3.891,6.609,0.609,0.641,1.125,1.313,2.563,5.469,0.411,0.0,0.319,Chris,Dudley,,,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
14,78,3041,1989,21:44,5.295,12.051,0.244,0.756,2.692,3.59,0.949,1.295,2.244,2.333,0.641,0.051,1.833,2.013,13.526,0.439,0.322,0.75,Ledell,Eackles,,,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
15,63,2953,1989,14:56,2.349,4.27,0.016,0.016,1.19,1.746,1.19,1.937,3.127,0.619,0.556,0.492,1.063,2.381,5.905,0.55,1.0,0.682,Kenny,Gattison,,,,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
16,41,2860,1989,35:04,5.951,12.415,0.0,0.049,4.927,7.0,1.878,7.22,9.098,3.171,0.707,0.537,2.683,2.634,16.829,0.479,0.0,0.704,Brad,Daugherty,,,,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
17,76,2946,1989,31:55,6.368,12.368,0.0,0.026,3.987,5.513,2.776,5.105,7.882,1.303,0.908,0.671,2.408,2.789,16.724,0.515,0.0,0.723,Armen,Gilliam,,,,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
18,63,622,1989,14:01,1.937,4.159,0.0,0.016,0.857,1.381,1.476,2.159,3.635,0.397,0.397,0.444,1.079,2.714,4.73,0.466,0.0,0.621,Terry,Davis,,,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
19,71,2856,1989,13:56,1.93,4.239,0.042,0.254,1.197,1.507,0.592,0.986,1.577,1.676,0.394,0.113,0.62,1.085,5.099,0.455,0.167,0.794,Kevin,Gamble,,,,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
20,50,2901,1989,25:20,4.24,11.42,0.36,1.6,1.26,1.62,0.84,1.96,2.8,4.2,1.64,0.28,2.22,2.2,10.1,0.371,0.225,0.778,Mookie,Blaylock,,,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
21,82,581,1989,27:50,5.634,11.317,0.0,0.037,3.232,4.317,1.366,2.841,4.207,0.768,0.28,0.451,1.622,3.598,14.5,0.498,0.0,0.749,James,Edwards,,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
22,9,603,1989,9:00,0.444,1.333,0.111,0.222,0.111,0.444,0.111,0.444,0.556,2.889,0.444,0.0,1.111,1.222,1.111,0.333,0.5,0.25,Corey,Gaines,,,,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
23,72,559,1989,13:32,1.653,3.833,0.431,1.097,0.694,0.792,0.208,0.681,0.889,2.875,0.653,0.0,0.528,1.458,4.431,0.431,0.392,0.877,Scott,Brooks,,,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
24,37,2980,1989,5:32,0.595,1.405,0.0,0.0,0.432,0.784,0.649,1.459,2.108,0.324,0.108,0.243,0.432,1.081,1.622,0.423,0.0,0.552,David,Greenwood,,,,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
25,73,2876,1989,17:41,2.452,5.0,0.479,1.425,1.055,1.37,0.164,1.11,1.274,3.315,0.644,0.123,1.178,2.068,6.438,0.49,0.337,0.77,Brad,Davis,,,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
26,38,3034,1989,10:31,2.342,5.342,0.211,0.711,1.5,2.105,0.447,0.684,1.132,0.658,0.447,0.026,0.711,1.158,6.395,0.438,0.296,0.713,Jim,Farmer,,,,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
27,80,594,1989,21:08,1.725,3.563,0.038,0.05,1.038,1.5,1.925,3.463,5.388,0.838,0.45,0.313,0.875,3.1,4.525,0.484,0.75,0.692,Mark,Acres,,,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
28,80,2248,1989,23:08,2.388,6.163,0.625,1.963,1.038,1.175,0.738,2.1,2.838,2.688,0.838,0.45,1.138,2.575,6.438,0.387,0.318,0.883,Michael,Cooper,,,,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
29,37,3054,1989,10:34,2.081,4.297,0.0,0.0,0.568,1.0,0.757,1.757,2.514,0.351,0.324,0.108,0.865,1.622,4.73,0.484,0.0,0.568,Pat,Cummings,,,,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
30,82,2969,1989,31:38,3.963,7.866,0.0,0.0,1.805,2.585,3.732,6.28,10.012,0.854,0.963,0.549,1.146,2.829,9.732,0.504,0.0,0.698,Michael,Cage,,,,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
31,53,2576,1989,8:05,1.094,2.981,0.132,0.472,0.132,0.151,0.472,1.057,1.528,0.34,0.189,0.151,0.377,0.981,2.453,0.367,0.28,0.875,Charlie,Davis,,,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
32,54,2955,1989,32:37,6.981,17.111,0.87,2.63,2.667,3.556,0.963,2.352,3.315,2.444,0.852,0.111,1.852,2.093,17.5,0.408,0.331,0.75,Rex,Chapman,,,,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
33,77,657,1989,22:53,3.61,7.883,0.0,0.0,2.325,3.039,1.961,3.039,5.0,1.104,0.662,0.351,1.74,3.662,9.545,0.458,0.0,0.765,Tellis,Frank,,,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
34,5,2704,1989,4:12,0.2,1.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.8,1.4,0.4,0.143,0.0,0.0,Rick,Carlisle,,,,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
35,79,575,1989,34:03,5.038,12.519,2.0,5.468,3.38,3.975,0.62,2.228,2.848,6.266,1.532,0.038,1.785,1.684,15.456,0.402,0.366,0.85,Michael,Adams,,,,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
36,78,2869,1989,25:42,5.615,11.513,0.397,1.192,2.462,3.256,1.5,2.41,3.91,1.859,0.436,0.244,1.551,2.577,14.09,0.488,0.333,0.756,Mark,Aguirre,,,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
37,75,502,1989,36:20,6.747,15.387,1.44,3.853,2.96,3.56,0.92,3.427,4.347,6.04,1.507,0.24,2.467,3.173,17.893,0.438,0.374,0.831,Danny,Ainge,,,,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
38,75,2861,1989,17:51,2.8,5.96,0.0,0.093,1.667,2.187,1.107,1.973,3.08,0.667,0.44,0.347,0.92,1.973,7.267,0.47,0.0,0.762,Chucky,Brown,,,,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
39,82,547,1989,23:05,4.524,9.573,0.122,0.598,1.317,1.622,1.841,2.72,4.561,1.732,0.732,0.476,1.232,2.671,10.488,0.473,0.204,0.812,Mark,Alarie,,,,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
40,41,3001,1989,7:21,1.537,3.366,0.171,0.537,0.854,0.902,0.049,0.561,0.61,0.951,0.366,0.073,0.39,0.537,4.098,0.457,0.318,0.946,Steve,Alford,,,,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
41,82,569,1989,17:02,2.159,4.195,0.012,0.024,1.915,2.427,1.354,3.195,4.549,0.573,0.39,0.341,1.073,2.28,6.244,0.515,0.5,0.789,Mike,Brown,,,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
42,16,2849,1989,3:30,0.5,1.75,0.0,0.0,0.0,0.125,0.625,0.313,0.938,0.25,0.0,0.0,0.375,0.688,1.0,0.286,0.0,0.0,Raymond,Brown,,,,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
43,16,2834,1989,8:00,0.938,1.875,0.0,0.0,0.438,1.125,0.938,0.688,1.625,0.188,0.375,0.313,0.375,1.5,2.313,0.5,0.0,0.389,Stanley,Brundy,,,,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
44,4,2848,1989,6:30,0.75,1.75,0.0,0.5,0.25,0.75,0.25,0.25,0.5,1.0,0.25,0.0,0.25,1.0,1.75,0.429,0.0,0.333,Jay,Edwards,,,,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
45,63,2826,1989,11:50,1.683,3.794,0.0,0.111,0.365,0.683,0.778,1.413,2.19,0.365,0.254,0.302,0.444,1.619,3.73,0.444,0.0,0.535,Randy,Allen,,,,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
46,60,553,1989,21:31,3.65,7.2,0.0,0.0,1.517,2.833,1.867,4.35,6.217,0.4,0.533,0.9,1.333,2.933,8.817,0.507,0.0,0.535,Greg,Anderson,,,,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
47,81,512,1989,22:02,4.593,9.296,0.012,0.21,2.296,3.259,1.321,2.58,3.901,1.531,0.852,0.42,1.704,1.728,11.494,0.494,0.059,0.705,Nick,Anderson,,,,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
48,54,2617,1989,11:11,1.63,3.907,0.685,1.852,0.333,0.426,0.611,1.741,2.352,1.019,0.37,0.167,0.481,1.185,4.278,0.417,0.37,0.783,Richard,Anderson,,,,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
