,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
0,22,46398147,1966,12:05,2.455,6.318,0,0,1.227,1.545,0,0,3.455,0.455,0,0,0,2.545,6.136,0.388,0,0.794,Dave,Gambee,,,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1,9,46403298,1966,6:13,1.556,3.111,0,0,1.333,2.0,0,0,2.0,0.111,0,0,0,1.111,4.444,0.5,0,0.667,John,Block,,,,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
2,8,46403294,1966,5:45,0.375,2.125,0,0,0.375,1.125,0,0,0.875,1.125,0,0,0,0.875,1.125,0.176,0,0.333,Dave,Deutsch,,,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
3,29,46397630,1966,39:35,8.379,19.0,0,0,4.897,5.931,0,0,4.966,3.724,0,0,0,3.655,21.655,0.441,0,0.826,Hal,Greer,,,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
4,22,46403281,1966,23:35,4.364,9.318,0,0,1.864,2.591,0,0,2.727,2.773,0,0,0,2.318,10.591,0.468,0,0.719,Archie,Clark,,,,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
5,15,46398149,1966,18:04,4.6,9.8,0,0,2.333,5.0,0,0,7.333,1.2,0,0,0,3.267,11.533,0.469,0,0.467,Johnny,Green,,,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
6,69,46398676,1966,25:33,3.072,6.768,0,0,1.275,2.13,0,0,4.652,3.899,0,0,0,3.841,7.42,0.454,0,0.599,Alvin,Attles,,,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
7,21,46401260,1966,16:05,2.238,6.0,0,0,1.762,2.476,0,0,5.19,0.619,0,0,0,3.667,6.238,0.373,0,0.712,Jim,Barnes,,,,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
8,24,46398158,1966,32:05,7.5,15.5,0,0,4.125,5.125,0,0,4.25,2.375,0,0,0,2.25,19.125,0.484,0,0.805,Dick,Barnett,,,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
9,15,46400203,1966,23:12,3.533,8.333,0,0,1.733,2.733,0,0,2.867,3.133,0,0,0,1.4,8.8,0.424,0,0.634,John,Barnhill,,,,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
10,78,2265,1966,40:42,13.0,28.718,0,0,9.577,10.936,0,0,9.154,3.615,0,0,0,3.308,35.577,0.453,0,0.876,Rick,Barry,,,,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
