iter	RMSE
125	0.4545508873
126	0.4543367309
127	0.4541645533
128	0.4539190652
129	0.4535894514
130	0.4534075597
131	0.453248319
132	0.4530693639
133	0.4528453046
134	0.4527151137
135	0.452580947
136	0.4524362593
137	0.4523128984
138	0.4521700427
139	0.4519771685
140	0.4516795494
141	0.4514772106
142	0.4511986696
143	0.4509927935
144	0.4507723267
145	0.4506972344
146	0.4505491255
147	0.4504224089
148	0.4503164171
149	0.4502059565
150	0.4499903694
151	0.4499297737
152	0.4497257298
153	0.4495967257
154	0.4494151149
155	0.4493138145
156	0.4490900182
157	0.4489654535
158	0.4487991888
159	0.4486196697
160	0.4485185969
161	0.4483148395
162	0.4481619356
163	0.4479657325
164	0.4477777966
165	0.4477151697
166	0.4475000877
167	0.4474140798
168	0.4473198205
169	0.4472119167
170	0.4470647781
171	0.4468416733
172	0.4467247868
173	0.4466533367
174	0.446506036
175	0.446243084
176	0.4460867319
177	0.4459669864
178	0.445763109
179	0.4456196672
180	0.4454952758
181	0.445292944
182	0.4450822348
183	0.4450088943
184	0.4448829907
185	0.4447050566
186	0.4444206072
187	0.4442124105
188	0.4440154578
189	0.4437856415
190	0.4436555713
191	0.443478411
192	0.4433114283
193	0.4431207226
194	0.4429087417
195	0.442700503
196	0.4425754923
197	0.442336325
198	0.4421455146
199	0.4419467415
200	0.4417660132
201	0.4415248216
202	0.4413565384
203	0.4411697676
204	0.4409207107
205	0.4407090256
206	0.4404726563
207	0.4402342027
208	0.4400346187
209	0.4397573818
210	0.4394947475
211	0.4393361225
212	0.4391136269
213	0.4389278968
214	0.4387093127
215	0.4385814523
216	0.4383956055
217	0.4381966236
218	0.4380410893
219	0.437821173
220	0.4375906678
221	0.4374353324
222	0.4372645264
223	0.4370983954
224	0.436888462
225	0.4367003221
226	0.4365254399
227	0.4363656989
228	0.4362105609
229	0.436009888
230	0.4358212232
231	0.4356943483
232	0.4356034975
233	0.4354671248
234	0.4352494579
235	0.4350801662
236	0.4348459523
237	0.4347288719
238	0.4345193196
239	0.434381908
240	0.434254841
241	0.4340733295
242	0.4338641204
243	0.4336491071
244	0.4334813818
245	0.4333722459
246	0.4331840353
247	0.4329710566
248	0.432753187
249	0.432461053
250	0.4321818426
251	0.4320365258
252	0.4318645903
253	0.4316871452
254	0.4314755058
255	0.431312031
256	0.4311486066
257	0.4309913835
258	0.4307951046
259	0.4306073778
260	0.4304772421
261	0.4303605595
262	0.4301211704
263	0.430029299
264	0.4298858724
265	0.4297578799
266	0.4295716631
267	0.4293200006
268	0.4291658227
269	0.4289858837
270	0.4288941279
271	0.4288004949
272	0.4285572169
273	0.4283645979
274	0.4282389343
275	0.4281024612
276	0.4278752672
277	0.4276900091
278	0.4275935005
279	0.4274519768
280	0.4272489552
281	0.4270500532
282	0.4268575811
283	0.426730327
284	0.4265723599
285	0.4263184633
286	0.4261859569
287	0.4259687403
288	0.4257802507
289	0.4256410554
290	0.4255457161
291	0.4253808882
292	0.4252360895
293	0.425078401
294	0.424909143
295	0.424715025
296	0.4246286889
297	0.4244328858
298	0.4243581321
299	0.4242056773
300	0.4241152752
301	0.4239275798
302	0.4237505266
303	0.4236022313
304	0.4234864894
305	0.4233009992
306	0.4231487587
307	0.4229392044
308	0.4228083713
309	0.4226882436
310	0.4225707355
311	0.4223454788
312	0.4221210022
313	0.4220384339
314	0.4218860165
315	0.4217149923
316	0.4215947256
317	0.421503966
318	0.4213496909
319	0.421183742
320	0.4210985304
321	0.4209502381
322	0.420897137
323	0.4207335661
324	0.42060341
325	0.4204595969
326	0.4203138078
327	0.4201602715
328	0.4200657747
329	0.4199266312
330	0.4197371299
331	0.4195952831
332	0.4194066796
333	0.4192368918
334	0.4191039895
335	0.419023171
336	0.4188804464
337	0.4188062304
338	0.4186254592
339	0.418484933
340	0.4183056921
341	0.4181272163
342	0.417987439
343	0.4179265202
344	0.4177925517
345	0.4176737346
346	0.4175801291
347	0.4174560123
348	0.4173122421
349	0.4171977314
350	0.4170748828
351	0.4169776003
352	0.4168075562
353	0.4167094376
354	0.4166007567
355	0.4164527099
356	0.4163586827
357	0.4162241291
358	0.4161570366
359	0.4160439857
360	0.4159511796
361	0.4158419543
362	0.4157820891
363	0.4157549591
364	0.4156370531
365	0.4154666651
366	0.4153324928
367	0.4151932475
368	0.4150564706
369	0.4149828723
370	0.4148257677
371	0.4147149731
372	0.4146309761
373	0.4144528052
374	0.4143128562
375	0.4142131846
376	0.4141232163
377	0.4140251967
378	0.4139675033
379	0.4138513847
380	0.4137553747
381	0.4136732515
382	0.4135912335
383	0.4134300494
384	0.4132368973
385	0.4131304769
386	0.4130264012
387	0.4128940726
388	0.4127322127
389	0.4126860256
390	0.4125871927
391	0.4125247888
392	0.4123869797
393	0.4122427109
394	0.4121435604
395	0.4120688191
396	0.4118683203
397	0.4117501296
398	0.4116336581
399	0.4115259809
400	0.4114416449
401	0.4113256763
402	0.4113043479
403	0.4111998106
404	0.4110753253
405	0.4109616101
406	0.4108596357
407	0.4107634757
408	0.4106617084
409	0.4104730058
410	0.4104523952
411	0.4103270408
412	0.410232494
413	0.4102256052
414	0.4101276426
415	0.4100177992
416	0.4098505341
417	0.4097230504
418	0.4096548434
419	0.4095475832
420	0.409353728
421	0.4093388804
422	0.4091474918
423	0.4090168441
424	0.4088711154
425	0.4087461727
426	0.4086538139
427	0.4085289219
428	0.4083762507
429	0.4082217519
430	0.4081246494
431	0.4079716307
432	0.4078986978
433	0.40770782
434	0.4075945276
435	0.4075870869
436	0.4074483303
437	0.4073658597
438	0.4072549503
439	0.4071021471
440	0.4069451297
441	0.4068779681
442	0.4067323739
443	0.4065989246
444	0.4065030048
445	0.4063795448
446	0.4062758798
447	0.4061896508
448	0.4060684264
449	0.4059821584
450	0.4058477325
451	0.4057839559
452	0.4056801275
453	0.4055191121
454	0.4053170028
455	0.4052455863
456	0.4050810351
457	0.4049941201
458	0.4048990492
459	0.4048013978
460	0.4047950417
461	0.4047192374
462	0.404639853
463	0.4044980281
464	0.404364956
465	0.404255926
466	0.4040762977
467	0.4039959888
468	0.4039894134
469	0.4038601884
470	0.4038449983
471	0.4037210061
472	0.403597417
473	0.4034906209
474	0.4034125864
475	0.4033059291
476	0.4031963733
477	0.4030821774
478	0.4029951706
479	0.402918356
480	0.4027800927
481	0.4026543024
482	0.4025690955
483	0.4024149369
484	0.4022979453
485	0.4021967823
486	0.4020478244
487	0.4018952781
488	0.4017695695
489	0.4016447163
490	0.4015728073
491	0.4014590564
492	0.4014017074
493	0.4011907102
494	0.40118561
495	0.4010392079
496	0.4009147401
497	0.4008120214
498	0.4008062876
499	0.4007212711
