iter	RMSE
0	0.8707232419
1	0.8458400023
2	0.822616576
3	0.799752203
4	0.7794328808
5	0.7601075371
6	0.7410274776
7	0.723154229
8	0.7081513303
9	0.6926915045
10	0.6789096647
11	0.6655270938
12	0.6532160252
13	0.641759259
14	0.631084168
15	0.6207806095
16	0.6112564932
17	0.6020658135
18	0.5944160403
19	0.5868390514
20	0.5795703956
21	0.5729906271
22	0.5664074341
23	0.5605651236
24	0.5546407743
25	0.5493324616
26	0.5448210792
27	0.5398381925
28	0.5352163945
29	0.5311306183
30	0.5275070865
31	0.5240945061
32	0.520754626
33	0.5178912747
34	0.5149267943
35	0.5122012987
36	0.5101968143
37	0.5079140016
38	0.5054112198
39	0.5033489346
40	0.5015039157
41	0.4993190276
42	0.4974963292
43	0.4956732943
44	0.4940367056
45	0.492371748
46	0.4905180117
47	0.488949992
48	0.4876529089
49	0.486511865
50	0.4854055028
51	0.4844347169
52	0.4834198272
53	0.4825712589
54	0.4815897122
55	0.4807636324
56	0.4798221339
57	0.479114706
58	0.4784473663
59	0.4775240035
60	0.4766730486
61	0.4760371443
62	0.475341974
63	0.474764386
64	0.47396728
65	0.4733753762
66	0.4729523378
67	0.4723049021
68	0.4718854448
69	0.4715248371
70	0.4709111067
71	0.4704820979
72	0.4699240211
73	0.4693007547
74	0.4689121127
75	0.4684524102
76	0.4680038113
77	0.4674581232
78	0.4669893282
79	0.4664401423
80	0.466085339
81	0.4656845931
82	0.4654065371
83	0.4651063622
84	0.4646920903
85	0.4642519244
86	0.4638559877
87	0.4636002341
88	0.4633366591
89	0.4631144927
90	0.462891559
91	0.46266025
92	0.4624102778
93	0.4620463618
94	0.4616786234
95	0.4613468778
96	0.4610539063
97	0.4608579474
98	0.4605886734
99	0.4602938899
100	0.4600184731
101	0.4597511832
102	0.459549016
103	0.4593410631
104	0.4591452022
105	0.4589421212
106	0.4586888161
107	0.4583213602
108	0.45800047
109	0.4577240521
110	0.4575544872
111	0.4572532565
112	0.4570379408
113	0.4567463718
114	0.4566442171
115	0.4564768036
116	0.4562636003
117	0.4561445249
118	0.4559238326
119	0.4557662984
120	0.4555614924
121	0.4553598437
122	0.4551465624
123	0.4548659387
124	0.4547195708
